REF_AREA,Country,Year,Sex,Age,Measure,Value_emp_rate
AUT,Autriche,2008,Total,20-64,Employment to population ratio,73.81
BEL,Belgique,2008,Total,20-64,Employment to population ratio,68.02
DNK,Danemark,2008,Total,20-64,Employment to population ratio,79.21
EST,Estonie,2008,Total,20-64,Employment to population ratio,76.93
FIN,Finlande,2008,Total,20-64,Employment to population ratio,75.85
FRA,France,2008,Total,20-64,Employment to population ratio,69.95
DEU,Allemagne,2008,Total,20-64,Employment to population ratio,74.01
GRC,Grèce,2008,Total,20-64,Employment to population ratio,66.29
HUN,Hongrie,2008,Total,20-64,Employment to population ratio,61.54
ISL,Islande,2008,Total,20-64,Employment to population ratio,84.4
IRL,Irlande,2008,Total,20-64,Employment to population ratio,73.6
ITA,Italie,2008,Total,20-64,Employment to population ratio,62.86
LVA,Lettonie,2008,Total,20-64,Employment to population ratio,75.45
LTU,Lituanie,2008,Total,20-64,Employment to population ratio,72.01
LUX,Luxembourg,2008,Total,20-64,Employment to population ratio,68.78
NLD,Pays-Bas,2008,Total,20-64,Employment to population ratio,77.12
NOR,Norvège,2008,Total,20-64,Employment to population ratio,81.78
POL,Pologne,2008,Total,20-64,Employment to population ratio,64.99
PRT,Portugal,2008,Total,20-64,Employment to population ratio,73.06
SVK,République slovaque,2008,Total,20-64,Employment to population ratio,68.83
SVN,Slovénie,2008,Total,20-64,Employment to population ratio,73.05
ESP,Espagne,2008,Total,20-64,Employment to population ratio,68.49
SWE,Suède,2008,Total,20-64,Employment to population ratio,80.39
CHE,Suisse,2008,Total,20-64,Employment to population ratio,82.29
GBR,Royaume-Uni,2008,Total,20-64,Employment to population ratio,74.73
BGR,Bulgarie,2008,Total,20-64,Employment to population ratio,70.67
HRV,Croatie,2008,Total,20-64,Employment to population ratio,64.92
ROU,Roumanie,2008,Total,20-64,Employment to population ratio,64.39
AUT,Autriche,2006,Total,20-64,Employment to population ratio,71.58
BEL,Belgique,2006,Total,20-64,Employment to population ratio,66.47
DNK,Danemark,2006,Total,20-64,Employment to population ratio,79.68
EST,Estonie,2006,Total,20-64,Employment to population ratio,75.61
FIN,Finlande,2006,Total,20-64,Employment to population ratio,74.03
FRA,France,2006,Total,20-64,Employment to population ratio,68.88
DEU,Allemagne,2006,Total,20-64,Employment to population ratio,71.12
GRC,Grèce,2006,Total,20-64,Employment to population ratio,65.55
HUN,Hongrie,2006,Total,20-64,Employment to population ratio,62.65
ISL,Islande,2006,Total,20-64,Employment to population ratio,85.2
IRL,Irlande,2006,Total,20-64,Employment to population ratio,74.68
ITA,Italie,2006,Total,20-64,Employment to population ratio,62.41
LVA,Lettonie,2006,Total,20-64,Employment to population ratio,73.16
LTU,Lituanie,2006,Total,20-64,Employment to population ratio,71.28
LUX,Luxembourg,2006,Total,20-64,Employment to population ratio,69.09
NLD,Pays-Bas,2006,Total,20-64,Employment to population ratio,73.98
NOR,Norvège,2006,Total,20-64,Employment to population ratio,79.49
POL,Pologne,2006,Total,20-64,Employment to population ratio,60.12
PRT,Portugal,2006,Total,20-64,Employment to population ratio,72.58
SVK,République slovaque,2006,Total,20-64,Employment to population ratio,65.96
SVN,Slovénie,2006,Total,20-64,Employment to population ratio,71.49
ESP,Espagne,2006,Total,20-64,Employment to population ratio,68.99
SWE,Suède,2006,Total,20-64,Employment to population ratio,78.83
CHE,Suisse,2006,Total,20-64,Employment to population ratio,80.52
GBR,Royaume-Uni,2006,Total,20-64,Employment to population ratio,74.84
BGR,Bulgarie,2006,Total,20-64,Employment to population ratio,65.09
HRV,Croatie,2006,Total,20-64,Employment to population ratio,60.57
ROU,Roumanie,2006,Total,20-64,Employment to population ratio,64.79
AUT,Autriche,2007,Total,20-64,Employment to population ratio,72.84
BEL,Belgique,2007,Total,20-64,Employment to population ratio,67.69
DNK,Danemark,2007,Total,20-64,Employment to population ratio,79.29
EST,Estonie,2007,Total,20-64,Employment to population ratio,76.61
FIN,Finlande,2007,Total,20-64,Employment to population ratio,74.85
FRA,France,2007,Total,20-64,Employment to population ratio,69.38
DEU,Allemagne,2007,Total,20-64,Employment to population ratio,72.95
GRC,Grèce,2007,Total,20-64,Employment to population ratio,65.81
HUN,Hongrie,2007,Total,20-64,Employment to population ratio,62.29
ISL,Islande,2007,Total,20-64,Employment to population ratio,85.79
IRL,Irlande,2007,Total,20-64,Employment to population ratio,75.23
ITA,Italie,2007,Total,20-64,Employment to population ratio,62.72
LVA,Lettonie,2007,Total,20-64,Employment to population ratio,75.17
LTU,Lituanie,2007,Total,20-64,Employment to population ratio,72.71
LUX,Luxembourg,2007,Total,20-64,Employment to population ratio,69.57
NLD,Pays-Bas,2007,Total,20-64,Employment to population ratio,75.71
NOR,Norvège,2007,Total,20-64,Employment to population ratio,80.92
POL,Pologne,2007,Total,20-64,Employment to population ratio,62.74
PRT,Portugal,2007,Total,20-64,Employment to population ratio,72.54
SVK,République slovaque,2007,Total,20-64,Employment to population ratio,67.23
SVN,Slovénie,2007,Total,20-64,Employment to population ratio,72.39
ESP,Espagne,2007,Total,20-64,Employment to population ratio,69.74
SWE,Suède,2007,Total,20-64,Employment to population ratio,80.13
CHE,Suisse,2007,Total,20-64,Employment to population ratio,81.33
