Year,REF_AREA,Country,Expenditure_name,value_raw,Unit_mult,Currency,Expenditure_Share %
1995,FRA,France,Recreation_Culture,56302.0,6,EUR,8.76
1995,FRA,France,Food,92535.0,6,EUR,14.39
1995,FRA,France,Household_Goods,36859.0,6,EUR,5.73
1995,FRA,France,Health,24039.0,6,EUR,3.74
1995,FRA,France,Communication,14504.0,6,EUR,2.26
1995,FRA,France,Education,2321.0,6,EUR,0.36
1995,FRA,France,Alcohol_Tobacco,25084.0,6,EUR,3.9
1995,FRA,France,Clothing_Footwear,37808.0,6,EUR,5.88
1995,FRA,France,Other_Services,78785.0,6,EUR,12.25
1995,FRA,France,Housing_Utilities,150167.0,6,EUR,23.35
1995,FRA,France,Transport,92274.0,6,EUR,14.35
1995,FRA,France,Restaurants_Hotels,40500.0,6,EUR,6.3
1996,FRA,France,Recreation_Culture,57472.0,6,EUR,8.64
1996,FRA,France,Communication,15167.0,6,EUR,2.28
1996,FRA,France,Health,24696.0,6,EUR,3.71
1996,FRA,France,Household_Goods,37659.0,6,EUR,5.66
1996,FRA,France,Food,93499.0,6,EUR,14.06
1996,FRA,France,Education,2360.0,6,EUR,0.35
1996,FRA,France,Alcohol_Tobacco,26068.0,6,EUR,3.92
1996,FRA,France,Clothing_Footwear,37996.0,6,EUR,5.71
1996,FRA,France,Other_Services,83244.0,6,EUR,12.52
1996,FRA,France,Restaurants_Hotels,40048.0,6,EUR,6.02
1996,FRA,France,Transport,97554.0,6,EUR,14.67
1996,FRA,France,Housing_Utilities,157233.0,6,EUR,23.64
1997,FRA,France,Recreation_Culture,59363.0,6,EUR,8.76
1997,FRA,France,Communication,15686.0,6,EUR,2.31
1997,FRA,France,Household_Goods,38360.0,6,EUR,5.66
1997,FRA,France,Health,25091.0,6,EUR,3.7
1997,FRA,France,Food,95772.0,6,EUR,14.13
1997,FRA,France,Education,2681.0,6,EUR,0.4
1997,FRA,France,Alcohol_Tobacco,26774.0,6,EUR,3.95
1997,FRA,France,Clothing_Footwear,38604.0,6,EUR,5.7
1997,FRA,France,Other_Services,84715.0,6,EUR,12.5
1997,FRA,France,Restaurants_Hotels,41597.0,6,EUR,6.14
1997,FRA,France,Transport,94442.0,6,EUR,13.94
1997,FRA,France,Housing_Utilities,160852.0,6,EUR,23.74
1998,FRA,France,Recreation_Culture,63848.0,6,EUR,9.02
1998,FRA,France,Communication,16646.0,6,EUR,2.35
1998,FRA,France,Household_Goods,39749.0,6,EUR,5.62
1998,FRA,France,Health,25753.0,6,EUR,3.64
1998,FRA,France,Food,98470.0,6,EUR,13.92
1998,FRA,France,Education,2715.0,6,EUR,0.38
1998,FRA,France,Alcohol_Tobacco,27971.0,6,EUR,3.95
1998,FRA,France,Clothing_Footwear,39139.0,6,EUR,5.53
1998,FRA,France,Other_Services,86762.0,6,EUR,12.26
1998,FRA,France,Restaurants_Hotels,44591.0,6,EUR,6.3
1998,FRA,France,Transport,100426.0,6,EUR,14.19
1998,FRA,France,Housing_Utilities,167121.0,6,EUR,23.62
1999,FRA,France,Recreation_Culture,66744.0,6,EUR,9.13
1999,FRA,France,Communication,18919.0,6,EUR,2.59
1999,FRA,France,Household_Goods,40958.0,6,EUR,5.6
1999,FRA,France,Health,26700.0,6,EUR,3.65
1999,FRA,France,Food,100262.0,6,EUR,13.71
1999,FRA,France,Education,2770.0,6,EUR,0.38
1999,FRA,France,Alcohol_Tobacco,29197.0,6,EUR,3.99
1999,FRA,France,Clothing_Footwear,39583.0,6,EUR,5.41
1999,FRA,France,Other_Services,85268.0,6,EUR,11.66
1999,FRA,France,Restaurants_Hotels,47185.0,6,EUR,6.45
1999,FRA,France,Transport,107386.0,6,EUR,14.68
1999,FRA,France,Housing_Utilities,171321.0,6,EUR,23.42
2000,FRA,France,Recreation_Culture,71251.0,6,EUR,9.17
2000,FRA,France,Communication,21700.0,6,EUR,2.79
2000,FRA,France,Household_Goods,42838.0,6,EUR,5.51
2000,FRA,France,Health,28250.0,6,EUR,3.64
2000,FRA,France,Food,104562.0,6,EUR,13.46
2000,FRA,France,Education,2869.0,6,EUR,0.37
2000,FRA,France,Alcohol_Tobacco,30490.0,6,EUR,3.92
2000,FRA,France,Clothing_Footwear,41103.0,6,EUR,5.29
2000,FRA,France,Other_Services,97068.0,6,EUR,12.49
2000,FRA,France,Restaurants_Hotels,51089.0,6,EUR,6.58
2000,FRA,France,Transport,113748.0,6,EUR,14.64
2000,FRA,France,Housing_Utilities,177294.0,6,EUR,22.82
2001,FRA,France,Recreation_Culture,74150.0,6,EUR,9.15
2001,FRA,France,Communication,23991.0,6,EUR,2.96
2001,FRA,France,Household_Goods,43722.0,6,EUR,5.4
2001,FRA,France,Health,29583.0,6,EUR,3.65
2001,FRA,France,Food,110622.0,6,EUR,13.66
2001,FRA,France,Education,2998.0,6,EUR,0.37
2001,FRA,France,Alcohol_Tobacco,31866.0,6,EUR,3.93
2001,FRA,France,Clothing_Footwear,41359.0,6,EUR,5.11
2001,FRA,France,Other_Services,103211.0,6,EUR,12.74
2001,FRA,France,Restaurants_Hotels,53190.0,6,EUR,6.57
2001,FRA,France,Transport,116760.0,6,EUR,14.41
2001,FRA,France,Housing_Utilities,185004.0,6,EUR,22.84
2002,FRA,France,Recreation_Culture,77865.0,6,EUR,9.33
2002,FRA,France,Communication,26466.0,6,EUR,3.17
2002,FRA,France,Household_Goods,45389.0,6,EUR,5.44
2002,FRA,France,Health,31062.0,6,EUR,3.72
2002,FRA,France,Food,114798.0,6,EUR,13.75
2002,FRA,France,Education,3268.0,6,EUR,0.39
2002,FRA,France,Alcohol_Tobacco,33175.0,6,EUR,3.97
2002,FRA,France,Clothing_Footwear,42927.0,6,EUR,5.14
2002,FRA,France,Other_Services,100844.0,6,EUR,12.08
2002,FRA,France,Restaurants_Hotels,55525.0,6,EUR,6.65
2002,FRA,France,Transport,118361.0,6,EUR,14.18
2002,FRA,France,Housing_Utilities,191398.0,6,EUR,22.93
2003,FRA,France,Recreation_Culture,80510.0,6,EUR,9.35
2003,FRA,France,Communication,28198.0,6,EUR,3.28
2003,FRA,France,Household_Goods,47093.0,6,EUR,5.47
2003,FRA,France,Health,32731.0,6,EUR,3.8
2003,FRA,France,Food,119108.0,6,EUR,13.84
2003,FRA,France,Education,3274.0,6,EUR,0.38
2003,FRA,France,Alcohol_Tobacco,33252.0,6,EUR,3.86
2003,FRA,France,Clothing_Footwear,44128.0,6,EUR,5.13
2003,FRA,France,Other_Services,100555.0,6,EUR,11.68
2003,FRA,France,Restaurants_Hotels,57827.0,6,EUR,6.72
2003,FRA,France,Transport,119102.0,6,EUR,13.83
2003,FRA,France,Housing_Utilities,201533.0,6,EUR,23.41
2004,FRA,France,Recreation_Culture,84473.0,6,EUR,9.39
2004,FRA,France,Communication,29718.0,6,EUR,3.3
2004,FRA,France,Household_Goods,49165.0,6,EUR,5.46
2004,FRA,France,Health,34781.0,6,EUR,3.87
2004,FRA,France,Food,120927.0,6,EUR,13.44
2004,FRA,France,Education,3335.0,6,EUR,0.37
2004,FRA,France,Alcohol_Tobacco,34043.0,6,EUR,3.78
2004,FRA,France,Clothing_Footwear,44812.0,6,EUR,4.98
2004,FRA,France,Other_Services,107356.0,6,EUR,11.93
2004,FRA,France,Restaurants_Hotels,59744.0,6,EUR,6.64
2004,FRA,France,Transport,125654.0,6,EUR,13.96
2004,FRA,France,Housing_Utilities,211990.0,6,EUR,23.56
