Year,REF_AREA,Country,Household_type,Measure,INCOME_PRINCIPAL,INCOME_SPOUSE,Net_average_tax_rate_pct,Unit_measure
2000,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.09,PT
2001,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.74,PT
2002,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,21.18,PT
2003,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,21.66,PT
2004,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.81,PT
2005,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.6,PT
2006,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,23.33,PT
2007,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.02,PT
2008,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.68,PT
2009,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.16,PT
2010,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.59,PT
2011,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,23.44,PT
2012,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.03,PT
2013,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.71,PT
2014,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,25.08,PT
2015,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,25.54,PT
2016,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.49,PT
2017,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.95,PT
2018,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,23.4,PT
2019,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.88,PT
2020,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,19.5,PT
2021,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,21.13,PT
2022,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,18.44,PT
2023,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.14,PT
2024,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.11,PT
2000,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,34.98,PT
2001,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,35.32,PT
2002,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,35.07,PT
2003,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.87,PT
2004,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.88,PT
2005,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.98,PT
2006,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.94,PT
2007,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.98,PT
2008,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.31,PT
2009,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.14,PT
2010,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.93,PT
2011,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,34.06,PT
2012,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.92,PT
2013,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.5,PT
2014,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.45,PT
2015,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.06,PT
2016,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,31.46,PT
2017,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,31.34,PT
2018,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.49,PT
2019,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,29.82,PT
2020,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,29.78,PT
2021,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.01,PT
2022,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.76,PT
2023,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.26,PT
2024,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.13,PT
2000,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,35.81,PT
2001,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,35.02,PT
2002,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,34.36,PT
2003,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,34.32,PT
2004,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.95,PT
