Year,REF_AREA,Country,Age,Sex,Unit_measure,Unit_mult,Value_population
1990,AUT,Autriche,0-19,Total,PS,0,1862258.0
1990,AUT,Autriche,0-19,Total,PT_POP,0,17.53
1990,BEL,Belgique,0-19,Total,PS,0,2471103.0
1990,BEL,Belgique,0-19,Total,PT_POP,0,18.11
1990,BGR,Bulgarie,0-19,Total,PS,0,2435133.0
1990,BGR,Bulgarie,0-19,Total,PT_POP,0,20.54
1990,CHE,Suisse,0-19,Total,PS,0,1569984.0
1990,CHE,Suisse,0-19,Total,PT_POP,0,17.03
1990,DEU,Allemagne,0-19,Total,PS,0,17253635.0
1990,DEU,Allemagne,0-19,Total,PT_POP,0,15.98
1990,DNK,Danemark,0-19,Total,PS,0,1247187.0
1990,DNK,Danemark,0-19,Total,PT_POP,0,17.15
1990,ESP,Espagne,0-19,Total,PS,0,11192634.0
1990,ESP,Espagne,0-19,Total,PT_POP,0,20.27
1990,EST,Estonie,0-19,Total,PS,0,459853.0
1990,EST,Estonie,0-19,Total,PT_POP,0,22.29
1990,FIN,Finlande,0-19,Total,PS,0,1263553.0
1990,FIN,Finlande,0-19,Total,PT_POP,0,19.34
1990,FRA,France,0-19,Total,PS,0,15719647.0
1990,FRA,France,0-19,Total,PT_POP,0,20.13
1990,GBR,Royaume-Uni,0-19,Total,PS,0,14807175.0
1990,GBR,Royaume-Uni,0-19,Total,PT_POP,0,18.95
1990,GRC,Grèce,0-19,Total,PS,0,2737430.0
1990,GRC,Grèce,0-19,Total,PT_POP,0,19.54
1990,HUN,Hongrie,0-19,Total,PS,0,2897405.0
1990,HUN,Hongrie,0-19,Total,PT_POP,0,20.54
1990,IRL,Irlande,0-19,Total,PS,0,1287411.0
1990,IRL,Irlande,0-19,Total,PT_POP,0,27.36
1990,ISL,Islande,0-19,Total,PS,0,84523.0
1990,ISL,Islande,0-19,Total,PT_POP,0,25.0
1990,ITA,Italie,0-19,Total,PS,0,13898209.0
1990,ITA,Italie,0-19,Total,PT_POP,0,16.79
1990,LTU,Lituanie,0-19,Total,PS,0,1111939.0
1990,LTU,Lituanie,0-19,Total,PT_POP,0,22.57
1990,LUX,Luxembourg,0-19,Total,PS,0,87845.0
1990,LUX,Luxembourg,0-19,Total,PT_POP,0,17.24
1990,LVA,Lettonie,0-19,Total,PS,0,756557.0
1990,LVA,Lettonie,0-19,Total,PT_POP,0,21.43
1990,NLD,Pays-Bas,0-19,Total,PS,0,3822205.0
1990,NLD,Pays-Bas,0-19,Total,PT_POP,0,18.23
1990,NOR,Norvège,0-19,Total,PS,0,1119969.0
1990,NOR,Norvège,0-19,Total,PT_POP,0,18.92
1990,POL,Pologne,0-19,Total,PS,0,12412122.0
1990,POL,Pologne,0-19,Total,PT_POP,0,25.27
1990,PRT,Portugal,0-19,Total,PS,0,2924166.0
1990,PRT,Portugal,0-19,Total,PT_POP,0,20.82
1990,ROU,Roumanie,0-19,Total,PS,0,7403040.0
1990,ROU,Roumanie,0-19,Total,PT_POP,0,23.73
1990,SVK,République slovaque,0-19,Total,PS,0,1770211.0
1990,SVK,République slovaque,0-19,Total,PT_POP,0,25.45
1990,SVN,Slovénie,0-19,Total,PS,0,562184.0
1990,SVN,Slovénie,0-19,Total,PT_POP,0,20.95
1990,SWE,Suède,0-19,Total,PS,0,2088320.0
1990,SWE,Suède,0-19,Total,PT_POP,0,17.85
