Year,REF_AREA,Country,Measure,Unit_measure,Value
2000,AUT,Autriche,household_net_saving,PT,11.75
2000,BEL,Belgique,household_net_saving,PT,11.45
2000,DNK,Danemark,household_net_saving,PT,-6.57
2000,EST,Estonie,household_net_saving,PT,0.0
2000,FIN,Finlande,household_net_saving,PT,2.68
2000,FRA,France,household_net_saving,PT,8.75
2000,DEU,Allemagne,household_net_saving,PT,9.55
2000,GRC,Grèce,household_net_saving,PT,1.88
2000,HUN,Hongrie,household_net_saving,PT,4.57
2000,IRL,Irlande,household_net_saving,PT,-2.84
2000,ITA,Italie,household_net_saving,PT,9.09
2000,LVA,Lettonie,household_net_saving,PT,-3.06
2000,LUX,Luxembourg,household_net_saving,PT,5.85
2000,NLD,Pays-Bas,household_net_saving,PT,4.97
2000,NOR,Norvège,household_net_saving,PT,3.84
2000,POL,Pologne,household_net_saving,PT,10.59
2000,PRT,Portugal,household_net_saving,PT,6.59
2000,SVK,République slovaque,household_net_saving,PT,7.33
2000,ESP,Espagne,household_net_saving,PT,7.31
2000,SWE,Suède,household_net_saving,PT,-1.06
2000,CHE,Suisse,household_net_saving,PT,14.56
2000,GBR,Royaume-Uni,household_net_saving,PT,4.96
2001,AUT,Autriche,household_net_saving,PT,9.26
2001,BEL,Belgique,household_net_saving,PT,12.87
2001,DNK,Danemark,household_net_saving,PT,-0.86
2001,EST,Estonie,household_net_saving,PT,-2.21
2001,FIN,Finlande,household_net_saving,PT,1.92
2001,FRA,France,household_net_saving,PT,9.45
2001,DEU,Allemagne,household_net_saving,PT,10.3
2001,GRC,Grèce,household_net_saving,PT,-0.44
2001,HUN,Hongrie,household_net_saving,PT,5.36
2001,IRL,Irlande,household_net_saving,PT,2.03
2001,ITA,Italie,household_net_saving,PT,10.12
2001,LVA,Lettonie,household_net_saving,PT,-4.25
2001,LUX,Luxembourg,household_net_saving,PT,6.55
2001,NLD,Pays-Bas,household_net_saving,PT,5.99
2001,NOR,Norvège,household_net_saving,PT,2.61
2001,POL,Pologne,household_net_saving,PT,12.16
2001,PRT,Portugal,household_net_saving,PT,6.85
2001,SVK,République slovaque,household_net_saving,PT,5.09
2001,ESP,Espagne,household_net_saving,PT,7.16
2001,SWE,Suède,household_net_saving,PT,2.7
2001,CHE,Suisse,household_net_saving,PT,14.97
2001,GBR,Royaume-Uni,household_net_saving,PT,4.77
2002,AUT,Autriche,household_net_saving,PT,9.44
2002,BEL,Belgique,household_net_saving,PT,12.45
2002,DNK,Danemark,household_net_saving,PT,-0.11
2002,EST,Estonie,household_net_saving,PT,-10.47
2002,FIN,Finlande,household_net_saving,PT,2.05
2002,FRA,France,household_net_saving,PT,10.6
2002,DEU,Allemagne,household_net_saving,PT,10.18
2002,GRC,Grèce,household_net_saving,PT,1.11
2002,HUN,Hongrie,household_net_saving,PT,2.86
2002,IRL,Irlande,household_net_saving,PT,0.36
2002,ITA,Italie,household_net_saving,PT,11.07
2002,LVA,Lettonie,household_net_saving,PT,-2.79
