Year,REF_REGION,Area,REF_AREA,Country,Level,Measure,Value
2000,ISL,Islande,ISL,Islande,CTRY,LIVE_BIRTHS,15.463
2000,LUX,Luxembourg,LUX,Luxembourg,CTRY,LIVE_BIRTHS,13.199
2000,DEU,Allemagne,DEU,Allemagne,CTRY,LIVE_BIRTHS,9.335
2000,SVK,République slovaque,SVK,République slovaque,CTRY,LIVE_BIRTHS,10.216
2000,ESP,Espagne,ESP,Espagne,CTRY,LIVE_BIRTHS,9.825
2000,SWE,Suède,SWE,Suède,CTRY,LIVE_BIRTHS,10.206
2000,LVA,Lettonie,LVA,Lettonie,CTRY,LIVE_BIRTHS,8.524
2000,GRC,Grèce,GRC,Grèce,CTRY,LIVE_BIRTHS,9.583
2000,CHE,Suisse,CHE,Suisse,CTRY,LIVE_BIRTHS,10.951
2000,EST,Estonie,EST,Estonie,CTRY,LIVE_BIRTHS,9.325
2000,BEL,Belgique,BEL,Belgique,CTRY,LIVE_BIRTHS,11.368
2000,IRL,Irlande,IRL,Irlande,CTRY,LIVE_BIRTHS,14.504
2000,NOR,Norvège,NOR,Norvège,CTRY,LIVE_BIRTHS,13.226
2000,AUT,Autriche,AUT,Autriche,CTRY,LIVE_BIRTHS,9.781
2000,FIN,Finlande,FIN,Finlande,CTRY,LIVE_BIRTHS,10.972
2000,SVN,Slovénie,SVN,Slovénie,CTRY,LIVE_BIRTHS,9.146
2000,ITA,Italie,ITA,Italie,CTRY,LIVE_BIRTHS,9.542
2000,PRT,Portugal,PRT,Portugal,CTRY,LIVE_BIRTHS,11.709
2000,HUN,Hongrie,HUN,Hongrie,CTRY,LIVE_BIRTHS,9.548
2000,DNK,Danemark,DNK,Danemark,CTRY,LIVE_BIRTHS,12.586
2000,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,LIVE_BIRTHS,13.024
2000,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,LIVE_BIRTHS,11.526
2000,LTU,Lituanie,LTU,Lituanie,CTRY,LIVE_BIRTHS,9.723
2000,FRA,France,FRA,France,CTRY,LIVE_BIRTHS,13.326
2000,POL,Pologne,POL,Pologne,CTRY,LIVE_BIRTHS,9.888
2001,POL,Pologne,POL,Pologne,CTRY,LIVE_BIRTHS,9.625
2001,FRA,France,FRA,France,CTRY,LIVE_BIRTHS,13.159
2001,LTU,Lituanie,LTU,Lituanie,CTRY,LIVE_BIRTHS,8.943
2001,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,LIVE_BIRTHS,11.315
2001,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,LIVE_BIRTHS,12.673
2001,DNK,Danemark,DNK,Danemark,CTRY,LIVE_BIRTHS,12.237
2001,HUN,Hongrie,HUN,Hongrie,CTRY,LIVE_BIRTHS,9.514
2001,PRT,Portugal,PRT,Portugal,CTRY,LIVE_BIRTHS,10.916
2001,ITA,Italie,ITA,Italie,CTRY,LIVE_BIRTHS,9.397
2001,SVN,Slovénie,SVN,Slovénie,CTRY,LIVE_BIRTHS,8.782
2001,FIN,Finlande,FIN,Finlande,CTRY,LIVE_BIRTHS,10.845
2001,AUT,Autriche,AUT,Autriche,CTRY,LIVE_BIRTHS,9.408
2001,NOR,Norvège,NOR,Norvège,CTRY,LIVE_BIRTHS,12.589
2001,IRL,Irlande,IRL,Irlande,CTRY,LIVE_BIRTHS,15.095
2001,BEL,Belgique,BEL,Belgique,CTRY,LIVE_BIRTHS,11.241
2001,EST,Estonie,EST,Estonie,CTRY,LIVE_BIRTHS,9.07
2001,CHE,Suisse,CHE,Suisse,CTRY,LIVE_BIRTHS,10.035
2001,GRC,Grèce,GRC,Grèce,CTRY,LIVE_BIRTHS,9.439
2001,LVA,Lettonie,LVA,Lettonie,CTRY,LIVE_BIRTHS,8.382
2001,SWE,Suède,SWE,Suède,CTRY,LIVE_BIRTHS,10.297
2001,ESP,Espagne,ESP,Espagne,CTRY,LIVE_BIRTHS,9.967
2001,SVK,République slovaque,SVK,République slovaque,CTRY,LIVE_BIRTHS,9.507
2001,DEU,Allemagne,DEU,Allemagne,CTRY,LIVE_BIRTHS,8.929
2001,LUX,Luxembourg,LUX,Luxembourg,CTRY,LIVE_BIRTHS,12.435
2001,ISL,Islande,ISL,Islande,CTRY,LIVE_BIRTHS,14.437
2002,ISL,Islande,ISL,Islande,CTRY,LIVE_BIRTHS,14.129
2002,LUX,Luxembourg,LUX,Luxembourg,CTRY,LIVE_BIRTHS,12.037
2002,DEU,Allemagne,DEU,Allemagne,CTRY,LIVE_BIRTHS,8.724
2002,SVK,République slovaque,SVK,République slovaque,CTRY,LIVE_BIRTHS,9.452
2002,ESP,Espagne,ESP,Espagne,CTRY,LIVE_BIRTHS,10.179
2002,SWE,Suède,SWE,Suède,CTRY,LIVE_BIRTHS,10.755
2002,LVA,Lettonie,LVA,Lettonie,CTRY,LIVE_BIRTHS,8.672
2002,GRC,Grèce,GRC,Grèce,CTRY,LIVE_BIRTHS,9.512
2002,CHE,Suisse,CHE,Suisse,CTRY,LIVE_BIRTHS,9.975
2002,EST,Estonie,EST,Estonie,CTRY,LIVE_BIRTHS,9.397
2002,BEL,Belgique,BEL,Belgique,CTRY,LIVE_BIRTHS,10.97
2002,IRL,Irlande,IRL,Irlande,CTRY,LIVE_BIRTHS,15.515
2002,NOR,Norvège,NOR,Norvège,CTRY,LIVE_BIRTHS,12.253
2002,AUT,Autriche,AUT,Autriche,CTRY,LIVE_BIRTHS,9.723
2002,FIN,Finlande,FIN,Finlande,CTRY,LIVE_BIRTHS,10.694
2002,SVN,Slovénie,SVN,Slovénie,CTRY,LIVE_BIRTHS,8.777
2002,ITA,Italie,ITA,Italie,CTRY,LIVE_BIRTHS,9.443
2002,PRT,Portugal,PRT,Portugal,CTRY,LIVE_BIRTHS,11.004
2002,HUN,Hongrie,HUN,Hongrie,CTRY,LIVE_BIRTHS,9.514
2002,DNK,Danemark,DNK,Danemark,CTRY,LIVE_BIRTHS,11.949
2002,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,LIVE_BIRTHS,12.548
2002,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,LIVE_BIRTHS,11.262
2002,LTU,Lituanie,LTU,Lituanie,CTRY,LIVE_BIRTHS,8.551
2002,FRA,France,FRA,France,CTRY,LIVE_BIRTHS,12.894
2002,POL,Pologne,POL,Pologne,CTRY,LIVE_BIRTHS,9.251
2003,POL,Pologne,POL,Pologne,CTRY,LIVE_BIRTHS,9.186
2003,FRA,France,FRA,France,CTRY,LIVE_BIRTHS,12.809
2003,LTU,Lituanie,LTU,Lituanie,CTRY,LIVE_BIRTHS,8.736
2003,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,LIVE_BIRTHS,11.659
2003,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,LIVE_BIRTHS,12.37
2003,DNK,Danemark,DNK,Danemark,CTRY,LIVE_BIRTHS,12.015
2003,HUN,Hongrie,HUN,Hongrie,CTRY,LIVE_BIRTHS,9.332
2003,PRT,Portugal,PRT,Portugal,CTRY,LIVE_BIRTHS,10.773
2003,ITA,Italie,ITA,Italie,CTRY,LIVE_BIRTHS,9.514
2003,SVN,Slovénie,SVN,Slovénie,CTRY,LIVE_BIRTHS,8.682
2003,FIN,Finlande,FIN,Finlande,CTRY,LIVE_BIRTHS,10.877
2003,AUT,Autriche,AUT,Autriche,CTRY,LIVE_BIRTHS,9.499
2003,NOR,Norvège,NOR,Norvège,CTRY,LIVE_BIRTHS,12.402
2003,IRL,Irlande,IRL,Irlande,CTRY,LIVE_BIRTHS,15.521
2003,BEL,Belgique,BEL,Belgique,CTRY,LIVE_BIRTHS,11.009
2003,EST,Estonie,EST,Estonie,CTRY,LIVE_BIRTHS,9.479
2003,CHE,Suisse,CHE,Suisse,CTRY,LIVE_BIRTHS,9.824
2003,GRC,Grèce,GRC,Grèce,CTRY,LIVE_BIRTHS,9.566
2003,LVA,Lettonie,LVA,Lettonie,CTRY,LIVE_BIRTHS,9.199
2003,SWE,Suède,SWE,Suède,CTRY,LIVE_BIRTHS,11.09
2003,ESP,Espagne,ESP,Espagne,CTRY,LIVE_BIRTHS,10.532
2003,SVK,République slovaque,SVK,République slovaque,CTRY,LIVE_BIRTHS,9.621
2003,DEU,Allemagne,DEU,Allemagne,CTRY,LIVE_BIRTHS,8.563
2003,LUX,Luxembourg,LUX,Luxembourg,CTRY,LIVE_BIRTHS,11.829
2003,ISL,Islande,ISL,Islande,CTRY,LIVE_BIRTHS,14.362
2004,ISL,Islande,ISL,Islande,CTRY,LIVE_BIRTHS,14.571
2004,LUX,Luxembourg,LUX,Luxembourg,CTRY,LIVE_BIRTHS,11.983
2004,DEU,Allemagne,DEU,Allemagne,CTRY,LIVE_BIRTHS,8.55
2004,SVK,République slovaque,SVK,République slovaque,CTRY,LIVE_BIRTHS,10.005
2004,ESP,Espagne,ESP,Espagne,CTRY,LIVE_BIRTHS,10.651
2004,SWE,Suède,SWE,Suède,CTRY,LIVE_BIRTHS,11.245
2004,LVA,Lettonie,LVA,Lettonie,CTRY,LIVE_BIRTHS,9.027
2004,GRC,Grèce,GRC,Grèce,CTRY,LIVE_BIRTHS,9.657
2004,CHE,Suisse,CHE,Suisse,CTRY,LIVE_BIRTHS,9.924
2004,EST,Estonie,EST,Estonie,CTRY,LIVE_BIRTHS,10.241
2004,BEL,Belgique,BEL,Belgique,CTRY,LIVE_BIRTHS,11.282
2004,IRL,Irlande,IRL,Irlande,CTRY,LIVE_BIRTHS,15.382
2004,NOR,Norvège,NOR,Norvège,CTRY,LIVE_BIRTHS,12.442
2004,AUT,Autriche,AUT,Autriche,CTRY,LIVE_BIRTHS,9.698
2004,FIN,Finlande,FIN,Finlande,CTRY,LIVE_BIRTHS,11.065
2004,SVN,Slovénie,SVN,Slovénie,CTRY,LIVE_BIRTHS,8.997
2004,ITA,Italie,ITA,Italie,CTRY,LIVE_BIRTHS,9.765
2004,PRT,Portugal,PRT,Portugal,CTRY,LIVE_BIRTHS,10.436
2004,HUN,Hongrie,HUN,Hongrie,CTRY,LIVE_BIRTHS,9.404
2004,DNK,Danemark,DNK,Danemark,CTRY,LIVE_BIRTHS,11.97
2004,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,LIVE_BIRTHS,11.933
2004,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,LIVE_BIRTHS,11.94
2004,LTU,Lituanie,LTU,Lituanie,CTRY,LIVE_BIRTHS,8.758
2004,FRA,France,FRA,France,CTRY,LIVE_BIRTHS,12.824
2004,POL,Pologne,POL,Pologne,CTRY,LIVE_BIRTHS,9.325
2005,POL,Pologne,POL,Pologne,CTRY,LIVE_BIRTHS,9.545
2005,FRA,France,FRA,France,CTRY,LIVE_BIRTHS,12.843
2005,LTU,Lituanie,LTU,Lituanie,CTRY,LIVE_BIRTHS,8.795
2005,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,LIVE_BIRTHS,11.957
2005,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,LIVE_BIRTHS,11.524
2005,DNK,Danemark,DNK,Danemark,CTRY,LIVE_BIRTHS,11.879
2005,HUN,Hongrie,HUN,Hongrie,CTRY,LIVE_BIRTHS,9.655
2005,PRT,Portugal,PRT,Portugal,CTRY,LIVE_BIRTHS,10.424
2005,ITA,Italie,ITA,Italie,CTRY,LIVE_BIRTHS,9.545
2005,SVN,Slovénie,SVN,Slovénie,CTRY,LIVE_BIRTHS,9.089
2005,FIN,Finlande,FIN,Finlande,CTRY,LIVE_BIRTHS,11.027
2005,AUT,Autriche,AUT,Autriche,CTRY,LIVE_BIRTHS,9.534
2005,NOR,Norvège,NOR,Norvège,CTRY,LIVE_BIRTHS,12.321
2005,IRL,Irlande,IRL,Irlande,CTRY,LIVE_BIRTHS,14.926
2005,BEL,Belgique,BEL,Belgique,CTRY,LIVE_BIRTHS,11.452
2005,EST,Estonie,EST,Estonie,CTRY,LIVE_BIRTHS,10.56
2005,CHE,Suisse,CHE,Suisse,CTRY,LIVE_BIRTHS,9.832
2005,GRC,Grèce,GRC,Grèce,CTRY,LIVE_BIRTHS,9.804
2005,LVA,Lettonie,LVA,Lettonie,CTRY,LIVE_BIRTHS,9.725
2005,SWE,Suède,SWE,Suède,CTRY,LIVE_BIRTHS,11.246
2005,ESP,Espagne,ESP,Espagne,CTRY,LIVE_BIRTHS,10.736
2005,SVK,République slovaque,SVK,République slovaque,CTRY,LIVE_BIRTHS,10.131
2005,DEU,Allemagne,DEU,Allemagne,CTRY,LIVE_BIRTHS,8.313
2005,LUX,Luxembourg,LUX,Luxembourg,CTRY,LIVE_BIRTHS,11.645
2005,ISL,Islande,ISL,Islande,CTRY,LIVE_BIRTHS,14.579
2006,ISL,Islande,ISL,Islande,CTRY,LIVE_BIRTHS,14.722
2006,LUX,Luxembourg,LUX,Luxembourg,CTRY,LIVE_BIRTHS,11.755
2006,DEU,Allemagne,DEU,Allemagne,CTRY,LIVE_BIRTHS,8.16
2006,SVK,République slovaque,SVK,République slovaque,CTRY,LIVE_BIRTHS,10.033
2006,ESP,Espagne,ESP,Espagne,CTRY,LIVE_BIRTHS,10.936
2006,SWE,Suède,SWE,Suède,CTRY,LIVE_BIRTHS,11.706
2006,LVA,Lettonie,LVA,Lettonie,CTRY,LIVE_BIRTHS,10.266
2006,GRC,Grèce,GRC,Grèce,CTRY,LIVE_BIRTHS,10.181
2006,CHE,Suisse,CHE,Suisse,CTRY,LIVE_BIRTHS,9.836
2006,EST,Estonie,EST,Estonie,CTRY,LIVE_BIRTHS,11.014
2006,BEL,Belgique,BEL,Belgique,CTRY,LIVE_BIRTHS,11.657
2006,IRL,Irlande,IRL,Irlande,CTRY,LIVE_BIRTHS,15.547
2006,NOR,Norvège,NOR,Norvège,CTRY,LIVE_BIRTHS,12.617
2006,AUT,Autriche,AUT,Autriche,CTRY,LIVE_BIRTHS,9.439
2006,FIN,Finlande,FIN,Finlande,CTRY,LIVE_BIRTHS,11.196
2006,SVN,Slovénie,SVN,Slovénie,CTRY,LIVE_BIRTHS,9.45
2006,ITA,Italie,ITA,Italie,CTRY,LIVE_BIRTHS,9.607
2006,PRT,Portugal,PRT,Portugal,CTRY,LIVE_BIRTHS,10.031
2006,HUN,Hongrie,HUN,Hongrie,CTRY,LIVE_BIRTHS,9.911
2006,DNK,Danemark,DNK,Danemark,CTRY,LIVE_BIRTHS,11.973
2006,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,LIVE_BIRTHS,11.329
2006,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,LIVE_BIRTHS,12.303
2006,LTU,Lituanie,LTU,Lituanie,CTRY,LIVE_BIRTHS,8.999
2006,FRA,France,FRA,France,CTRY,LIVE_BIRTHS,13.105
2006,POL,Pologne,POL,Pologne,CTRY,LIVE_BIRTHS,9.808
2007,POL,Pologne,POL,Pologne,CTRY,LIVE_BIRTHS,10.174
2007,FRA,France,FRA,France,CTRY,LIVE_BIRTHS,12.851
2007,LTU,Lituanie,LTU,Lituanie,CTRY,LIVE_BIRTHS,9.237
2007,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,LIVE_BIRTHS,12.59
2007,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,LIVE_BIRTHS,11.085
2007,DNK,Danemark,DNK,Danemark,CTRY,LIVE_BIRTHS,11.764
