Year,REF_AREA,birth_rate,fertility
2000,ISL,15.463,2.08
2000,LUX,13.199,1.76
2000,DEU,9.335,1.38
2000,SVK,10.216,1.3
2000,ESP,9.825,1.22
2000,SWE,10.206,1.54
2000,LVA,8.524,1.25
2000,GRC,9.583,1.25
2000,CHE,10.951,1.5
2000,EST,9.325,1.36
2000,IRL,14.504,1.89
2000,NOR,13.226,1.85
2000,AUT,9.781,1.36
2000,FIN,10.972,1.73
2000,SVN,9.146,1.26
2000,ITA,9.542,1.26
2000,PRT,11.709,1.55
2000,HUN,9.548,1.32
2000,DNK,12.586,1.77
2000,NLD,13.024,1.72
2000,GBR,11.526,1.48
2000,LTU,9.723,1.39
2000,FRA,13.326,1.89
2000,POL,9.888,1.37
2001,POL,9.625,1.31
2001,FRA,13.159,1.9
2001,LTU,8.943,1.29
2001,GBR,11.315,1.48
2001,NLD,12.673,1.71
2001,DNK,12.237,1.74
2001,HUN,9.514,1.31
2001,PRT,10.916,1.45
2001,ITA,9.397,1.25
2001,SVN,8.782,1.21
2001,FIN,10.845,1.73
2001,AUT,9.408,1.33
2001,NOR,12.589,1.78
2001,IRL,15.095,1.94
2001,EST,9.07,1.32
2001,CHE,10.035,1.38
2001,GRC,9.439,1.25
2001,LVA,8.382,1.22
2001,SWE,10.297,1.57
2001,ESP,9.967,1.23
2001,SVK,9.507,1.2
2001,DEU,8.929,1.35
2001,LUX,12.435,1.66
2001,ISL,14.437,1.95
2002,ISL,14.129,1.93
2002,LUX,12.037,1.63
2002,DEU,8.724,1.34
2002,SVK,9.452,1.19
2002,ESP,10.179,1.25
2002,SWE,10.755,1.65
2002,LVA,8.672,1.26
2002,GRC,9.512,1.28
2002,CHE,9.975,1.39
2002,EST,9.397,1.36
2002,IRL,15.515,1.97
2002,NOR,12.253,1.75
2002,AUT,9.723,1.39
2002,FIN,10.694,1.72
2002,SVN,8.777,1.21
2002,ITA,9.443,1.27
2002,PRT,11.004,1.46
2002,HUN,9.514,1.3
2002,DNK,11.949,1.72
2002,NLD,12.548,1.73
2002,GBR,11.262,1.48
2002,LTU,8.551,1.23
2002,FRA,12.894,1.88
2002,POL,9.251,1.25
2003,POL,9.186,1.22
2003,FRA,12.809,1.89
2003,LTU,8.736,1.26
2003,GBR,11.659,1.48
2003,NLD,12.37,1.75
2003,DNK,12.015,1.76
2003,HUN,9.332,1.27
2003,PRT,10.773,1.44
2003,ITA,9.514,1.29
2003,SVN,8.682,1.2
2003,FIN,10.877,1.76
2003,AUT,9.499,1.38
2003,NOR,12.402,1.8
