Year,REF_AREA,Country,Age,Value_emp_rate
2008,AUT,Autriche,20-64,73.81
2008,BEL,Belgique,20-64,68.02
2008,DNK,Danemark,20-64,79.21
2008,EST,Estonie,20-64,76.93
2008,FIN,Finlande,20-64,75.85
2008,FRA,France,20-64,69.95
2008,DEU,Allemagne,20-64,74.01
2008,GRC,Grèce,20-64,66.29
2008,HUN,Hongrie,20-64,61.54
2008,ISL,Islande,20-64,84.4
2008,IRL,Irlande,20-64,73.6
2008,ITA,Italie,20-64,62.86
2008,LVA,Lettonie,20-64,75.45
2008,LTU,Lituanie,20-64,72.01
2008,LUX,Luxembourg,20-64,68.78
2008,NLD,Pays-Bas,20-64,77.12
2008,NOR,Norvège,20-64,81.78
2008,POL,Pologne,20-64,64.99
2008,PRT,Portugal,20-64,73.06
2008,SVK,République slovaque,20-64,68.83
2008,SVN,Slovénie,20-64,73.05
2008,ESP,Espagne,20-64,68.49
2008,SWE,Suède,20-64,80.39
2008,CHE,Suisse,20-64,82.29
2008,GBR,Royaume-Uni,20-64,74.73
2006,AUT,Autriche,20-64,71.58
2006,BEL,Belgique,20-64,66.47
2006,DNK,Danemark,20-64,79.68
2006,EST,Estonie,20-64,75.61
2006,FIN,Finlande,20-64,74.03
2006,FRA,France,20-64,68.88
2006,DEU,Allemagne,20-64,71.12
2006,GRC,Grèce,20-64,65.55
2006,HUN,Hongrie,20-64,62.65
2006,ISL,Islande,20-64,85.2
2006,IRL,Irlande,20-64,74.68
2006,ITA,Italie,20-64,62.41
2006,LVA,Lettonie,20-64,73.16
2006,LTU,Lituanie,20-64,71.28
2006,LUX,Luxembourg,20-64,69.09
2006,NLD,Pays-Bas,20-64,73.98
2006,NOR,Norvège,20-64,79.49
2006,POL,Pologne,20-64,60.12
2006,PRT,Portugal,20-64,72.58
2006,SVK,République slovaque,20-64,65.96
2006,SVN,Slovénie,20-64,71.49
2006,ESP,Espagne,20-64,68.99
2006,SWE,Suède,20-64,78.83
2006,CHE,Suisse,20-64,80.52
2006,GBR,Royaume-Uni,20-64,74.84
2007,AUT,Autriche,20-64,72.84
2007,BEL,Belgique,20-64,67.69
2007,DNK,Danemark,20-64,79.29
2007,EST,Estonie,20-64,76.61
2007,FIN,Finlande,20-64,74.85
2007,FRA,France,20-64,69.38
2007,DEU,Allemagne,20-64,72.95
2007,GRC,Grèce,20-64,65.81
2007,HUN,Hongrie,20-64,62.29
2007,ISL,Islande,20-64,85.79
2007,IRL,Irlande,20-64,75.23
2007,ITA,Italie,20-64,62.72
2007,LVA,Lettonie,20-64,75.17
2007,LTU,Lituanie,20-64,72.71
2007,LUX,Luxembourg,20-64,69.57
2007,NLD,Pays-Bas,20-64,75.71
2007,NOR,Norvège,20-64,80.92
2007,POL,Pologne,20-64,62.74
2007,PRT,Portugal,20-64,72.54
2007,SVK,République slovaque,20-64,67.23
2007,SVN,Slovénie,20-64,72.39
2007,ESP,Espagne,20-64,69.74
2007,SWE,Suède,20-64,80.13
2007,CHE,Suisse,20-64,81.33
2007,GBR,Royaume-Uni,20-64,74.92
2005,AUT,Autriche,20-64,70.4
2005,BEL,Belgique,20-64,66.5
2005,DNK,Danemark,20-64,78.18
2005,EST,Estonie,20-64,71.5
2005,FIN,Finlande,20-64,73.0
2005,FRA,France,20-64,68.93
2005,DEU,Allemagne,20-64,69.41
2005,GRC,Grèce,20-64,64.45
2005,HUN,Hongrie,20-64,62.23
2005,ISL,Islande,20-64,84.48
2005,IRL,Irlande,20-64,73.88
2005,ITA,Italie,20-64,61.44
2005,LVA,Lettonie,20-64,69.12
2005,LTU,Lituanie,20-64,70.65
2005,LUX,Luxembourg,20-64,69.01
2005,NLD,Pays-Bas,20-64,72.96
2005,NOR,Norvège,20-64,78.15
2005,POL,Pologne,20-64,58.03
2005,PRT,Portugal,20-64,72.21
2005,SVK,République slovaque,20-64,64.51
2005,SVN,Slovénie,20-64,71.08
2005,ESP,Espagne,20-64,67.53
2005,SWE,Suède,20-64,78.2
2005,CHE,Suisse,20-64,79.91
2005,GBR,Royaume-Uni,20-64,74.76
2002,AUT,Autriche,20-64,71.77
2002,BEL,Belgique,20-64,64.96
2002,DNK,Danemark,20-64,77.83
2002,EST,Estonie,20-64,67.79
2002,FIN,Finlande,20-64,72.71
2002,FRA,France,20-64,69.35
2002,DEU,Allemagne,20-64,68.75
2002,GRC,Grèce,20-64,62.49
2002,HUN,Hongrie,20-64,61.44
2002,ISL,Islande,20-64,87.37
2002,IRL,Irlande,20-64,72.17
2002,ITA,Italie,20-64,59.44
2002,LVA,Lettonie,20-64,66.51
2002,LTU,Lituanie,20-64,67.19
2002,LUX,Luxembourg,20-64,68.4
2002,NLD,Pays-Bas,20-64,74.29
2002,NOR,Norvège,20-64,79.64
2002,POL,Pologne,20-64,57.14
2002,PRT,Portugal,20-64,73.57
2002,SVK,République slovaque,20-64,63.65
2002,SVN,Slovénie,20-64,68.98
2002,ESP,Espagne,20-64,63.09
2002,SWE,Suède,20-64,78.68
2002,CHE,Suisse,20-64,81.21
2002,GBR,Royaume-Uni,20-64,74.32
2003,AUT,Autriche,20-64,71.98
2003,BEL,Belgique,20-64,64.71
2003,DNK,Danemark,20-64,77.39
