Year,REF_REGION,Area,REF_AREA,Country,Level,Measure,Value
2000,FRA,France,FRA,France,CTRY,FERT_RATIO,1.89
2000,NOR,Norvège,NOR,Norvège,CTRY,FERT_RATIO,1.85
2000,EST,Estonie,EST,Estonie,CTRY,FERT_RATIO,1.36
2000,CHE,Suisse,CHE,Suisse,CTRY,FERT_RATIO,1.5
2000,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,FERT_RATIO,1.48
2000,PRT,Portugal,PRT,Portugal,CTRY,FERT_RATIO,1.55
2000,IRL,Irlande,IRL,Irlande,CTRY,FERT_RATIO,1.89
2000,POL,Pologne,POL,Pologne,CTRY,FERT_RATIO,1.37
2000,FIN,Finlande,FIN,Finlande,CTRY,FERT_RATIO,1.73
2000,GRC,Grèce,GRC,Grèce,CTRY,FERT_RATIO,1.25
2000,SWE,Suède,SWE,Suède,CTRY,FERT_RATIO,1.54
2000,DEU,Allemagne,DEU,Allemagne,CTRY,FERT_RATIO,1.38
2000,DNK,Danemark,DNK,Danemark,CTRY,FERT_RATIO,1.77
2000,LTU,Lituanie,LTU,Lituanie,CTRY,FERT_RATIO,1.39
2000,HUN,Hongrie,HUN,Hongrie,CTRY,FERT_RATIO,1.32
2000,ITA,Italie,ITA,Italie,CTRY,FERT_RATIO,1.26
2000,AUT,Autriche,AUT,Autriche,CTRY,FERT_RATIO,1.36
2000,ESP,Espagne,ESP,Espagne,CTRY,FERT_RATIO,1.22
2000,ISL,Islande,ISL,Islande,CTRY,FERT_RATIO,2.08
2000,SVK,République slovaque,SVK,République slovaque,CTRY,FERT_RATIO,1.3
2000,SVN,Slovénie,SVN,Slovénie,CTRY,FERT_RATIO,1.26
2000,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,FERT_RATIO,1.72
2000,LUX,Luxembourg,LUX,Luxembourg,CTRY,FERT_RATIO,1.76
2000,LVA,Lettonie,LVA,Lettonie,CTRY,FERT_RATIO,1.25
2000,BEL,Belgique,BEL,Belgique,CTRY,FERT_RATIO,1.67
2001,BEL,Belgique,BEL,Belgique,CTRY,FERT_RATIO,1.67
2001,LUX,Luxembourg,LUX,Luxembourg,CTRY,FERT_RATIO,1.66
2001,LVA,Lettonie,LVA,Lettonie,CTRY,FERT_RATIO,1.22
2001,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,FERT_RATIO,1.71
2001,SVN,Slovénie,SVN,Slovénie,CTRY,FERT_RATIO,1.21
2001,SVK,République slovaque,SVK,République slovaque,CTRY,FERT_RATIO,1.2
2001,ISL,Islande,ISL,Islande,CTRY,FERT_RATIO,1.95
2001,ESP,Espagne,ESP,Espagne,CTRY,FERT_RATIO,1.23
2001,AUT,Autriche,AUT,Autriche,CTRY,FERT_RATIO,1.33
2001,ITA,Italie,ITA,Italie,CTRY,FERT_RATIO,1.25
2001,HUN,Hongrie,HUN,Hongrie,CTRY,FERT_RATIO,1.31
2001,DNK,Danemark,DNK,Danemark,CTRY,FERT_RATIO,1.74
2001,LTU,Lituanie,LTU,Lituanie,CTRY,FERT_RATIO,1.29
2001,DEU,Allemagne,DEU,Allemagne,CTRY,FERT_RATIO,1.35
2001,SWE,Suède,SWE,Suède,CTRY,FERT_RATIO,1.57
2001,GRC,Grèce,GRC,Grèce,CTRY,FERT_RATIO,1.25
2001,FIN,Finlande,FIN,Finlande,CTRY,FERT_RATIO,1.73
2001,POL,Pologne,POL,Pologne,CTRY,FERT_RATIO,1.31
2001,IRL,Irlande,IRL,Irlande,CTRY,FERT_RATIO,1.94
2001,PRT,Portugal,PRT,Portugal,CTRY,FERT_RATIO,1.45
2001,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,FERT_RATIO,1.48
2001,CHE,Suisse,CHE,Suisse,CTRY,FERT_RATIO,1.38
2001,EST,Estonie,EST,Estonie,CTRY,FERT_RATIO,1.32
2001,NOR,Norvège,NOR,Norvège,CTRY,FERT_RATIO,1.78
2001,FRA,France,FRA,France,CTRY,FERT_RATIO,1.9
2002,FRA,France,FRA,France,CTRY,FERT_RATIO,1.88
2002,NOR,Norvège,NOR,Norvège,CTRY,FERT_RATIO,1.75
2002,EST,Estonie,EST,Estonie,CTRY,FERT_RATIO,1.36
2002,CHE,Suisse,CHE,Suisse,CTRY,FERT_RATIO,1.39
2002,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,FERT_RATIO,1.48
2002,PRT,Portugal,PRT,Portugal,CTRY,FERT_RATIO,1.46
2002,IRL,Irlande,IRL,Irlande,CTRY,FERT_RATIO,1.97
2002,POL,Pologne,POL,Pologne,CTRY,FERT_RATIO,1.25
2002,FIN,Finlande,FIN,Finlande,CTRY,FERT_RATIO,1.72
2002,GRC,Grèce,GRC,Grèce,CTRY,FERT_RATIO,1.28
2002,SWE,Suède,SWE,Suède,CTRY,FERT_RATIO,1.65
2002,DEU,Allemagne,DEU,Allemagne,CTRY,FERT_RATIO,1.34
2002,DNK,Danemark,DNK,Danemark,CTRY,FERT_RATIO,1.72
2002,LTU,Lituanie,LTU,Lituanie,CTRY,FERT_RATIO,1.23
2002,HUN,Hongrie,HUN,Hongrie,CTRY,FERT_RATIO,1.3
2002,ITA,Italie,ITA,Italie,CTRY,FERT_RATIO,1.27
2002,AUT,Autriche,AUT,Autriche,CTRY,FERT_RATIO,1.39
2002,ESP,Espagne,ESP,Espagne,CTRY,FERT_RATIO,1.25
2002,ISL,Islande,ISL,Islande,CTRY,FERT_RATIO,1.93
2002,SVK,République slovaque,SVK,République slovaque,CTRY,FERT_RATIO,1.19
2002,SVN,Slovénie,SVN,Slovénie,CTRY,FERT_RATIO,1.21
2002,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,FERT_RATIO,1.73
2002,LUX,Luxembourg,LUX,Luxembourg,CTRY,FERT_RATIO,1.63
2002,LVA,Lettonie,LVA,Lettonie,CTRY,FERT_RATIO,1.26
2002,BEL,Belgique,BEL,Belgique,CTRY,FERT_RATIO,1.65
2003,BEL,Belgique,BEL,Belgique,CTRY,FERT_RATIO,1.66
2003,LVA,Lettonie,LVA,Lettonie,CTRY,FERT_RATIO,1.32
2003,LUX,Luxembourg,LUX,Luxembourg,CTRY,FERT_RATIO,1.62
2003,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,FERT_RATIO,1.75
2003,SVN,Slovénie,SVN,Slovénie,CTRY,FERT_RATIO,1.2
2003,SVK,République slovaque,SVK,République slovaque,CTRY,FERT_RATIO,1.2
2003,ISL,Islande,ISL,Islande,CTRY,FERT_RATIO,1.99
2003,ESP,Espagne,ESP,Espagne,CTRY,FERT_RATIO,1.3
2003,AUT,Autriche,AUT,Autriche,CTRY,FERT_RATIO,1.38
2003,ITA,Italie,ITA,Italie,CTRY,FERT_RATIO,1.29
2003,HUN,Hongrie,HUN,Hongrie,CTRY,FERT_RATIO,1.27
2003,DNK,Danemark,DNK,Danemark,CTRY,FERT_RATIO,1.76
2003,LTU,Lituanie,LTU,Lituanie,CTRY,FERT_RATIO,1.26
2003,DEU,Allemagne,DEU,Allemagne,CTRY,FERT_RATIO,1.34
2003,SWE,Suède,SWE,Suède,CTRY,FERT_RATIO,1.71
2003,GRC,Grèce,GRC,Grèce,CTRY,FERT_RATIO,1.29
2003,FIN,Finlande,FIN,Finlande,CTRY,FERT_RATIO,1.76
2003,POL,Pologne,POL,Pologne,CTRY,FERT_RATIO,1.22
2003,IRL,Irlande,IRL,Irlande,CTRY,FERT_RATIO,1.96
2003,PRT,Portugal,PRT,Portugal,CTRY,FERT_RATIO,1.44
2003,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,FERT_RATIO,1.48
