Year,REF_AREA,Country,Household_type,Measure,INCOME_PRINCIPAL,INCOME_SPOUSE,Net_average_tax_rate_pct
2000,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.09
2001,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.74
2002,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,21.18
2003,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,21.66
2004,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.81
2005,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.6
2006,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,23.33
2007,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.02
2008,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.68
2009,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.16
2010,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.59
2011,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,23.44
2012,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.03
2013,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.71
2014,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,25.08
2015,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,25.54
2016,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.49
2017,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.95
2018,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,23.4
2019,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.88
2020,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,19.5
2021,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,21.13
2000,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,34.98
2001,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,35.32
2002,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,35.07
2003,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.87
2004,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.88
2005,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.98
2006,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.94
2007,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.98
2008,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.31
2009,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.14
2010,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.93
2011,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,34.06
2012,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.92
2013,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.5
2014,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.45
2015,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.06
2016,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,31.46
2017,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,31.34
2018,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.49
2019,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,29.82
2020,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,29.78
2021,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.01
2000,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,35.81
2001,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,35.02
2002,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,34.36
2003,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,34.32
2004,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.95
2005,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.84
2006,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.98
2007,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,33.19
2008,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.99
2009,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.45
2010,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.04
2011,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.3
2012,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.42
2013,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.0
2014,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,30.78
2015,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.1
2016,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.09
2017,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.05
2018,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,30.95
2019,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.17
2020,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,30.48
2021,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,30.63
2000,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,16.76
2001,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,16.69
2002,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,17.69
2003,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,18.39
2004,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,16.08
2005,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,14.44
2006,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,11.27
2007,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,12.6
2008,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,10.09
2009,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,12.62
2010,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,13.67
2011,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,14.27
2012,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,14.78
2013,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,14.67
2014,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,15.06
2015,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,11.23
2016,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,11.1
2017,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,11.56
2018,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,6.28
2019,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,7.25
2020,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,7.74
2021,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,9.12
2000,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,26.0
2001,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.92
2002,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.6
2003,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.18
2004,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.4
2005,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.82
2006,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.54
2007,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.56
2008,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.74
2009,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,22.7
2010,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,22.9
2011,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,22.87
2012,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,22.76
2013,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.72
2014,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.15
2015,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.57
2016,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.42
2017,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.87
2018,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.19
2019,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.19
2020,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.93
2021,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,25.28
2000,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.38
2001,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.14
2002,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.13
2003,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.4
2004,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.41
2005,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.67
2006,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.74
2007,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.99
2008,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.14
2009,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.16
2010,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.21
2011,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.38
2012,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.64
2013,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.75
2014,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,23.07
2015,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,23.16
2016,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.75
2017,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.68
2018,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.15
2019,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.78
2020,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,20.39
2021,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,20.85
2000,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,34.26
2001,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.22
2002,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.35
2003,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,34.17
2004,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.24
2005,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.32
2006,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.7
2007,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.48
2008,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.3
2009,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.94
2010,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,30.14
2011,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,30.92
2012,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.13
2013,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,30.88
2014,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.06
2015,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.21
2016,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.34
2017,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.37
2018,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.43
2019,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,30.97
2020,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,29.49
2021,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,29.2
2000,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.04
2001,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,21.36
2002,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.26
2003,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.21
2004,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.96
2005,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,24.08
2006,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,25.54
2007,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,24.51
2008,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.87
2009,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.68
2010,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.16
2011,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,25.82
2012,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,25.77
2013,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.64
2014,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.4
2015,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,21.93
