Year,REF_AREA,gov_spending
2000,AUT,2.946
2001,AUT,2.872
2002,AUT,2.917
2003,AUT,3.03
2004,AUT,2.986
2005,AUT,2.908
2006,AUT,2.795
2007,AUT,2.664
2008,AUT,2.731
2009,AUT,2.94
2010,AUT,2.971
2011,AUT,2.714
2012,AUT,2.664
2013,AUT,2.683
2014,AUT,2.645
2015,AUT,2.678
2016,AUT,2.665
2017,AUT,2.622
2018,AUT,2.562
2019,AUT,2.524
2020,AUT,2.877
2021,AUT,2.59
2000,DNK,3.398
2001,DNK,3.461
2002,DNK,3.553
2003,DNK,3.666
2004,DNK,3.566
2005,DNK,3.491
2006,DNK,3.448
2007,DNK,3.666
2008,DNK,3.708
2009,DNK,4.042
2010,DNK,3.889
2011,DNK,3.918
2012,DNK,3.808
2013,DNK,3.721
2014,DNK,3.62
2015,DNK,3.53
2016,DNK,3.489
2017,DNK,3.404
2018,DNK,3.387
2019,DNK,3.323
2020,DNK,3.402
2021,DNK,3.146
2000,EST,1.746
2001,EST,1.605
2002,EST,1.575
2003,EST,1.422
2004,EST,1.837
2005,EST,1.738
2006,EST,3.115
2007,EST,1.611
2008,EST,2.103
2009,EST,2.56
2010,EST,2.557
2011,EST,2.223
2012,EST,2.02
2013,EST,1.829
2014,EST,2.257
2015,EST,2.736
2016,EST,2.845
2017,EST,2.767
2018,EST,3.058
2019,EST,3.128
2020,EST,3.286
2021,EST,2.995
2000,FIN,2.931
2001,FIN,2.819
2002,FIN,2.8
2003,FIN,2.812
2004,FIN,2.821
2005,FIN,2.835
2006,FIN,2.805
2007,FIN,2.717
2008,FIN,2.781
2009,FIN,3.124
2010,FIN,3.102
2011,FIN,3.079
2012,FIN,3.184
2013,FIN,3.211
2014,FIN,3.18
2015,FIN,3.103
2016,FIN,3.028
2017,FIN,2.885
2018,FIN,2.889
2019,FIN,2.906
2020,FIN,3.019
2021,FIN,3.09
2000,FRA,3.016
2001,FRA,2.945
2002,FRA,2.934
2003,FRA,2.988
2004,FRA,3.017
2005,FRA,2.941
2006,FRA,2.852
2007,FRA,2.827
2008,FRA,2.81
2009,FRA,3.002
2010,FRA,2.92
2011,FRA,2.861
2012,FRA,2.911
2013,FRA,2.974
2014,FRA,2.979
2015,FRA,2.924
2016,FRA,2.891
2017,FRA,2.864
2018,FRA,2.797
2019,FRA,2.719
2020,FRA,2.912
2021,FRA,2.655
2000,DEU,2.035
2001,DEU,1.988
2002,DEU,2.057
2003,DEU,2.06
2004,DEU,2.02
2005,DEU,2.013
2006,DEU,1.707
2007,DEU,1.783
2008,DEU,1.866
2009,DEU,2.126
2010,DEU,2.136
2011,DEU,2.091
2012,DEU,2.115
2013,DEU,2.161
2014,DEU,2.173
2015,DEU,2.21
2016,DEU,2.261
2017,DEU,2.272
2018,DEU,2.32
2019,DEU,2.37
2020,DEU,2.745
2021,DEU,2.645
2000,GRC,0.849
2001,GRC,0.782
2002,GRC,0.747
2003,GRC,0.778
2004,GRC,0.797
2005,GRC,0.797
2006,GRC,0.752
2007,GRC,0.853
2008,GRC,0.851
2009,GRC,0.967
2010,GRC,0.981
2011,GRC,1.021
2012,GRC,1.193
2013,GRC,1.342
2014,GRC,1.384
2015,GRC,1.287
2016,GRC,1.265
2017,GRC,1.645
2018,GRC,1.867
2019,GRC,1.562
2020,GRC,1.664
2021,GRC,1.687
2000,HUN,2.99
2001,HUN,2.874
2002,HUN,2.945
2003,HUN,3.213
2004,HUN,2.951
2005,HUN,2.997
2006,HUN,3.262
2007,HUN,3.219
2008,HUN,3.243
2009,HUN,3.394
2010,HUN,3.367
2011,HUN,3.168
2012,HUN,3.068
2013,HUN,2.971
2014,HUN,2.873
2015,HUN,2.712
2016,HUN,2.654
2017,HUN,2.584
2018,HUN,2.495
2019,HUN,2.372
2020,HUN,2.495
2021,HUN,2.321
2000,ISL,2.123
2001,ISL,2.386
2002,ISL,2.58
2003,ISL,2.945
2004,ISL,2.984
2005,ISL,2.857
2006,ISL,2.963
2007,ISL,3.33
2008,ISL,3.422
2009,ISL,3.645
2010,ISL,3.521
2011,ISL,3.272
2012,ISL,3.352
2013,ISL,3.429
2014,ISL,3.518
2015,ISL,3.285
2016,ISL,3.194
2017,ISL,3.222
2018,ISL,3.313
2019,ISL,3.362
2020,ISL,3.936
2021,ISL,3.82
2000,IRL,1.95
2001,IRL,2.192
2002,IRL,2.545
2003,IRL,2.66
2004,IRL,2.637
2005,IRL,2.555
2006,IRL,2.593
2007,IRL,2.703
2008,IRL,3.182
2009,IRL,3.686
2010,IRL,3.428
2011,IRL,3.201
2012,IRL,3.137
2013,IRL,2.871
2014,IRL,2.584
2015,IRL,1.923
2016,IRL,1.94
2017,IRL,1.784
2018,IRL,1.699
2019,IRL,1.609
2020,IRL,1.511
2021,IRL,1.334
2000,ITA,1.166
2001,ITA,1.212
2002,ITA,1.113
2003,ITA,1.196
2004,ITA,1.213
2005,ITA,1.2
2006,ITA,1.28
2007,ITA,1.267
2008,ITA,1.316
2009,ITA,1.468
2010,ITA,1.315
2011,ITA,1.313
2012,ITA,1.37
2013,ITA,1.405
2014,ITA,1.396
2015,ITA,1.386
2016,ITA,1.37
2017,ITA,1.402
2018,ITA,1.404
2019,ITA,1.407
2020,ITA,1.514
2021,ITA,1.425
2000,LVA,1.525
2001,LVA,1.469
2002,LVA,1.386
2003,LVA,1.394
2004,LVA,1.287
2005,LVA,1.289
2006,LVA,1.179
2007,LVA,1.145
2008,LVA,1.98
2009,LVA,2.478
