Year,REF_AREA,Country,Program,Spending_type,Value of GDP %
2000,AUT,Autriche,family_total,cash,2.533
2001,AUT,Autriche,family_total,cash,2.459
2002,AUT,Autriche,family_total,cash,2.501
2003,AUT,Autriche,family_total,cash,2.599
2004,AUT,Autriche,family_total,cash,2.557
2005,AUT,Autriche,family_total,cash,2.477
2006,AUT,Autriche,family_total,cash,2.363
2007,AUT,Autriche,family_total,cash,2.227
2008,AUT,Autriche,family_total,cash,2.269
2009,AUT,Autriche,family_total,cash,2.389
2010,AUT,Autriche,family_total,cash,2.337
2011,AUT,Autriche,family_total,cash,2.082
2012,AUT,Autriche,family_total,cash,2.014
2013,AUT,Autriche,family_total,cash,2.007
2014,AUT,Autriche,family_total,cash,1.943
2015,AUT,Autriche,family_total,cash,1.966
2016,AUT,Autriche,family_total,cash,1.934
2017,AUT,Autriche,family_total,cash,1.896
2018,AUT,Autriche,family_total,cash,1.843
2019,AUT,Autriche,family_total,cash,1.781
2020,AUT,Autriche,family_total,cash,2.051
2021,AUT,Autriche,family_total,cash,1.781
2000,BEL,Belgique,family_total,cash,1.743
2001,BEL,Belgique,family_total,cash,1.745
2002,BEL,Belgique,family_total,cash,1.732
2003,BEL,Belgique,family_total,cash,1.755
2004,BEL,Belgique,family_total,cash,1.706
2005,BEL,Belgique,family_total,cash,1.678
2006,BEL,Belgique,family_total,cash,1.668
2007,BEL,Belgique,family_total,cash,1.711
2008,BEL,Belgique,family_total,cash,1.711
2009,BEL,Belgique,family_total,cash,1.816
2010,BEL,Belgique,family_total,cash,1.783
2011,BEL,Belgique,family_total,cash,1.787
2012,BEL,Belgique,family_total,cash,1.817
2013,BEL,Belgique,family_total,cash,1.82
2014,BEL,Belgique,family_total,cash,1.815
2015,BEL,Belgique,family_total,cash,1.763
2016,BEL,Belgique,family_total,cash,1.729
2017,BEL,Belgique,family_total,cash,1.724
2018,BEL,Belgique,family_total,cash,1.697
2019,BEL,Belgique,family_total,cash,1.66
2020,BEL,Belgique,family_total,cash,1.781
2021,BEL,Belgique,family_total,cash,1.654
2000,DNK,Danemark,family_total,cash,1.455
2001,DNK,Danemark,family_total,cash,1.454
2002,DNK,Danemark,family_total,cash,1.491
2003,DNK,Danemark,family_total,cash,1.584
2004,DNK,Danemark,family_total,cash,1.564
2005,DNK,Danemark,family_total,cash,1.507
2006,DNK,Danemark,family_total,cash,1.45
2007,DNK,Danemark,family_total,cash,1.483
2008,DNK,Danemark,family_total,cash,1.482
2009,DNK,Danemark,family_total,cash,1.613
2010,DNK,Danemark,family_total,cash,1.561
2011,DNK,Danemark,family_total,cash,1.5
2012,DNK,Danemark,family_total,cash,1.417
2013,DNK,Danemark,family_total,cash,1.395
2014,DNK,Danemark,family_total,cash,1.378
2015,DNK,Danemark,family_total,cash,1.357
2016,DNK,Danemark,family_total,cash,1.358
2017,DNK,Danemark,family_total,cash,1.314
2018,DNK,Danemark,family_total,cash,1.299
2019,DNK,Danemark,family_total,cash,1.273
2020,DNK,Danemark,family_total,cash,1.307
2021,DNK,Danemark,family_total,cash,1.187
2000,EST,Estonie,family_total,cash,1.52
2001,EST,Estonie,family_total,cash,1.354
2002,EST,Estonie,family_total,cash,1.3
2003,EST,Estonie,family_total,cash,1.169
2004,EST,Estonie,family_total,cash,1.551
2005,EST,Estonie,family_total,cash,1.412
2006,EST,Estonie,family_total,cash,2.745
2007,EST,Estonie,family_total,cash,1.293
2008,EST,Estonie,family_total,cash,1.651
2009,EST,Estonie,family_total,cash,2.131
2010,EST,Estonie,family_total,cash,2.135
2011,EST,Estonie,family_total,cash,1.841
2012,EST,Estonie,family_total,cash,1.627
2013,EST,Estonie,family_total,cash,1.548
2014,EST,Estonie,family_total,cash,1.529
2015,EST,Estonie,family_total,cash,1.951
2016,EST,Estonie,family_total,cash,2.05
2017,EST,Estonie,family_total,cash,1.978
2018,EST,Estonie,family_total,cash,2.237
2019,EST,Estonie,family_total,cash,2.258
2020,EST,Estonie,family_total,cash,2.346
2021,EST,Estonie,family_total,cash,2.117
2000,FIN,Finlande,family_total,cash,1.703
2001,FIN,Finlande,family_total,cash,1.606
2002,FIN,Finlande,family_total,cash,1.566
2003,FIN,Finlande,family_total,cash,1.556
2004,FIN,Finlande,family_total,cash,1.552
2005,FIN,Finlande,family_total,cash,1.526
2006,FIN,Finlande,family_total,cash,1.498
2007,FIN,Finlande,family_total,cash,1.427
2008,FIN,Finlande,family_total,cash,1.412
2009,FIN,Finlande,family_total,cash,1.587
2010,FIN,Finlande,family_total,cash,1.567
2011,FIN,Finlande,family_total,cash,1.507
2012,FIN,Finlande,family_total,cash,1.525
2013,FIN,Finlande,family_total,cash,1.516
2014,FIN,Finlande,family_total,cash,1.496
2015,FIN,Finlande,family_total,cash,1.408
2016,FIN,Finlande,family_total,cash,1.342
2017,FIN,Finlande,family_total,cash,1.234
2018,FIN,Finlande,family_total,cash,1.17
2019,FIN,Finlande,family_total,cash,1.113
2020,FIN,Finlande,family_total,cash,1.171
2021,FIN,Finlande,family_total,cash,1.117
2000,FRA,France,family_total,cash,1.441
2001,FRA,France,family_total,cash,1.425
2002,FRA,France,family_total,cash,1.435
2003,FRA,France,family_total,cash,1.422
2004,FRA,France,family_total,cash,1.375
2005,FRA,France,family_total,cash,1.356
2006,FRA,France,family_total,cash,1.694
2007,FRA,France,family_total,cash,1.636
2008,FRA,France,family_total,cash,1.602
2009,FRA,France,family_total,cash,1.698
2010,FRA,France,family_total,cash,1.61
2011,FRA,France,family_total,cash,1.557
2012,FRA,France,family_total,cash,1.575
2013,FRA,France,family_total,cash,1.576
2014,FRA,France,family_total,cash,1.565
2015,FRA,France,family_total,cash,1.498
2016,FRA,France,family_total,cash,1.46
2017,FRA,France,family_total,cash,1.424
2018,FRA,France,family_total,cash,1.391
2019,FRA,France,family_total,cash,1.339
2020,FRA,France,family_total,cash,1.509
2021,FRA,France,family_total,cash,1.303
2000,DEU,Allemagne,family_total,cash,1.358
2001,DEU,Allemagne,family_total,cash,1.316
2002,DEU,Allemagne,family_total,cash,1.369
2003,DEU,Allemagne,family_total,cash,1.363
2004,DEU,Allemagne,family_total,cash,1.337
2005,DEU,Allemagne,family_total,cash,1.326
2006,DEU,Allemagne,family_total,cash,1.029
2007,DEU,Allemagne,family_total,cash,1.112
2008,DEU,Allemagne,family_total,cash,1.129
2009,DEU,Allemagne,family_total,cash,1.28
2010,DEU,Allemagne,family_total,cash,1.243
2011,DEU,Allemagne,family_total,cash,1.185
2012,DEU,Allemagne,family_total,cash,1.157
2013,DEU,Allemagne,family_total,cash,1.125
2014,DEU,Allemagne,family_total,cash,1.112
2015,DEU,Allemagne,family_total,cash,1.099
2016,DEU,Allemagne,family_total,cash,1.068
2017,DEU,Allemagne,family_total,cash,1.04
2018,DEU,Allemagne,family_total,cash,1.06
2019,DEU,Allemagne,family_total,cash,1.049
2020,DEU,Allemagne,family_total,cash,1.286
