Year,REF_AREA,Country,Expenditure,value_raw,Unit_mult,Currency,Value_expenditure_Share %
2000,FRA,France,Recreation_Culture,71251.0,6,EUR,9.17
2000,FRA,France,Communication,21700.0,6,EUR,2.79
2000,FRA,France,Household_Goods,42838.0,6,EUR,5.51
2000,FRA,France,Health,28250.0,6,EUR,3.64
2000,FRA,France,Food,104562.0,6,EUR,13.46
2000,FRA,France,Education,2869.0,6,EUR,0.37
2000,FRA,France,Alcohol_Tobacco,30490.0,6,EUR,3.92
2000,FRA,France,Clothing_Footwear,41103.0,6,EUR,5.29
2000,FRA,France,Other_Services,97068.0,6,EUR,12.49
2000,FRA,France,Restaurants_Hotels,51089.0,6,EUR,6.58
2000,FRA,France,Transport,113748.0,6,EUR,14.64
2000,FRA,France,Housing_Utilities,177294.0,6,EUR,22.82
2001,FRA,France,Recreation_Culture,74150.0,6,EUR,9.15
2001,FRA,France,Communication,23991.0,6,EUR,2.96
2001,FRA,France,Household_Goods,43722.0,6,EUR,5.4
2001,FRA,France,Health,29583.0,6,EUR,3.65
2001,FRA,France,Food,110622.0,6,EUR,13.66
2001,FRA,France,Education,2998.0,6,EUR,0.37
2001,FRA,France,Alcohol_Tobacco,31866.0,6,EUR,3.93
2001,FRA,France,Clothing_Footwear,41359.0,6,EUR,5.11
2001,FRA,France,Other_Services,103211.0,6,EUR,12.74
2001,FRA,France,Restaurants_Hotels,53190.0,6,EUR,6.57
2001,FRA,France,Transport,116760.0,6,EUR,14.41
2001,FRA,France,Housing_Utilities,185004.0,6,EUR,22.84
2002,FRA,France,Recreation_Culture,77865.0,6,EUR,9.33
2002,FRA,France,Communication,26466.0,6,EUR,3.17
2002,FRA,France,Household_Goods,45389.0,6,EUR,5.44
2002,FRA,France,Health,31062.0,6,EUR,3.72
2002,FRA,France,Food,114798.0,6,EUR,13.75
2002,FRA,France,Education,3268.0,6,EUR,0.39
2002,FRA,France,Alcohol_Tobacco,33175.0,6,EUR,3.97
2002,FRA,France,Clothing_Footwear,42927.0,6,EUR,5.14
2002,FRA,France,Other_Services,100844.0,6,EUR,12.08
2002,FRA,France,Restaurants_Hotels,55525.0,6,EUR,6.65
2002,FRA,France,Transport,118361.0,6,EUR,14.18
2002,FRA,France,Housing_Utilities,191398.0,6,EUR,22.93
2003,FRA,France,Recreation_Culture,80510.0,6,EUR,9.35
2003,FRA,France,Communication,28198.0,6,EUR,3.28
2003,FRA,France,Household_Goods,47093.0,6,EUR,5.47
2003,FRA,France,Health,32731.0,6,EUR,3.8
2003,FRA,France,Food,119108.0,6,EUR,13.84
2003,FRA,France,Education,3274.0,6,EUR,0.38
2003,FRA,France,Alcohol_Tobacco,33252.0,6,EUR,3.86
2003,FRA,France,Clothing_Footwear,44128.0,6,EUR,5.13
2003,FRA,France,Other_Services,100555.0,6,EUR,11.68
2003,FRA,France,Restaurants_Hotels,57827.0,6,EUR,6.72
2003,FRA,France,Transport,119102.0,6,EUR,13.83
2003,FRA,France,Housing_Utilities,201533.0,6,EUR,23.41
2004,FRA,France,Recreation_Culture,84473.0,6,EUR,9.39
2004,FRA,France,Communication,29718.0,6,EUR,3.3
2004,FRA,France,Household_Goods,49165.0,6,EUR,5.46
2004,FRA,France,Health,34781.0,6,EUR,3.87
2004,FRA,France,Food,120927.0,6,EUR,13.44
2004,FRA,France,Education,3335.0,6,EUR,0.37
2004,FRA,France,Alcohol_Tobacco,34043.0,6,EUR,3.78
2004,FRA,France,Clothing_Footwear,44812.0,6,EUR,4.98
2004,FRA,France,Other_Services,107356.0,6,EUR,11.93
2004,FRA,France,Restaurants_Hotels,59744.0,6,EUR,6.64
2004,FRA,France,Transport,125654.0,6,EUR,13.96
2004,FRA,France,Housing_Utilities,211990.0,6,EUR,23.56
2005,FRA,France,Housing_Utilities,225042.0,6,EUR,23.98
2005,FRA,France,Transport,133182.0,6,EUR,14.19
2005,FRA,France,Restaurants_Hotels,62299.0,6,EUR,6.64
2005,FRA,France,Other_Services,111859.0,6,EUR,11.92
2005,FRA,France,Clothing_Footwear,45246.0,6,EUR,4.82
2005,FRA,France,Education,3420.0,6,EUR,0.36
2005,FRA,France,Alcohol_Tobacco,33975.0,6,EUR,3.62
2005,FRA,France,Food,122819.0,6,EUR,13.09
2005,FRA,France,Household_Goods,51144.0,6,EUR,5.45
2005,FRA,France,Health,36527.0,6,EUR,3.89
2005,FRA,France,Communication,31194.0,6,EUR,3.32
2005,FRA,France,Recreation_Culture,87276.0,6,EUR,9.3
2006,FRA,France,Housing_Utilities,238416.0,6,EUR,24.27
2006,FRA,France,Transport,137527.0,6,EUR,14.0
2006,FRA,France,Restaurants_Hotels,65362.0,6,EUR,6.65
2006,FRA,France,Other_Services,121248.0,6,EUR,12.34
2006,FRA,France,Education,3754.0,6,EUR,0.38
2006,FRA,France,Clothing_Footwear,45877.0,6,EUR,4.67
2006,FRA,France,Alcohol_Tobacco,34635.0,6,EUR,3.53
2006,FRA,France,Food,125969.0,6,EUR,12.82
2006,FRA,France,Household_Goods,53104.0,6,EUR,5.41
2006,FRA,France,Health,38548.0,6,EUR,3.92
2006,FRA,France,Communication,31492.0,6,EUR,3.21
2006,FRA,France,Recreation_Culture,90971.0,6,EUR,9.26
2007,FRA,France,Housing_Utilities,248611.0,6,EUR,24.19
2007,FRA,France,Transport,144549.0,6,EUR,14.06
2007,FRA,France,Restaurants_Hotels,68539.0,6,EUR,6.67
2007,FRA,France,Other_Services,133116.0,6,EUR,12.95
2007,FRA,France,Education,3912.0,6,EUR,0.38
2007,FRA,France,Clothing_Footwear,47136.0,6,EUR,4.59
2007,FRA,France,Alcohol_Tobacco,35250.0,6,EUR,3.43
2007,FRA,France,Food,129696.0,6,EUR,12.62
2007,FRA,France,Household_Goods,55934.0,6,EUR,5.44
2007,FRA,France,Health,40228.0,6,EUR,3.91
2007,FRA,France,Communication,32824.0,6,EUR,3.19
2007,FRA,France,Recreation_Culture,94042.0,6,EUR,9.15
2008,FRA,France,Housing_Utilities,260973.0,6,EUR,24.58
2008,FRA,France,Transport,148726.0,6,EUR,14.01
2008,FRA,France,Restaurants_Hotels,69306.0,6,EUR,6.53
2008,FRA,France,Other_Services,140588.0,6,EUR,13.24
2008,FRA,France,Education,4191.0,6,EUR,0.39
2008,FRA,France,Clothing_Footwear,46410.0,6,EUR,4.37
2008,FRA,France,Alcohol_Tobacco,35748.0,6,EUR,3.37
2008,FRA,France,Food,135890.0,6,EUR,12.8
2008,FRA,France,Household_Goods,55175.0,6,EUR,5.2
2008,FRA,France,Health,42303.0,6,EUR,3.98
2008,FRA,France,Communication,33902.0,6,EUR,3.19
2008,FRA,France,Recreation_Culture,93819.0,6,EUR,8.83
2009,FRA,France,Housing_Utilities,265328.0,6,EUR,25.39
2009,FRA,France,Transport,142987.0,6,EUR,13.68
2009,FRA,France,Restaurants_Hotels,68106.0,6,EUR,6.52
2009,FRA,France,Other_Services,127929.0,6,EUR,12.24
2009,FRA,France,Education,4246.0,6,EUR,0.41
2009,FRA,France,Clothing_Footwear,44999.0,6,EUR,4.31
2009,FRA,France,Alcohol_Tobacco,36958.0,6,EUR,3.54
2009,FRA,France,Food,136257.0,6,EUR,13.04
2009,FRA,France,Household_Goods,54029.0,6,EUR,5.17
2009,FRA,France,Health,43513.0,6,EUR,4.16
2009,FRA,France,Communication,34223.0,6,EUR,3.28
2009,FRA,France,Recreation_Culture,91907.0,6,EUR,8.8
2010,FRA,France,Housing_Utilities,274755.0,6,EUR,25.59
2010,FRA,France,Transport,146738.0,6,EUR,13.67
2010,FRA,France,Restaurants_Hotels,69644.0,6,EUR,6.49
2010,FRA,France,Other_Services,131426.0,6,EUR,12.24
2010,FRA,France,Alcohol_Tobacco,38748.0,6,EUR,3.61
2010,FRA,France,Education,4509.0,6,EUR,0.42
2010,FRA,France,Clothing_Footwear,45065.0,6,EUR,4.2
2010,FRA,France,Food,140595.0,6,EUR,13.1
2010,FRA,France,Health,44579.0,6,EUR,4.15
2010,FRA,France,Household_Goods,55400.0,6,EUR,5.16
2010,FRA,France,Communication,34274.0,6,EUR,3.19
2010,FRA,France,Recreation_Culture,92950.0,6,EUR,8.66
2011,FRA,France,Other_Services,134642.0,6,EUR,12.22
2011,FRA,France,Alcohol_Tobacco,40672.0,6,EUR,3.69
2011,FRA,France,Education,4664.0,6,EUR,0.42
2011,FRA,France,Clothing_Footwear,44787.0,6,EUR,4.06
2011,FRA,France,Housing_Utilities,281212.0,6,EUR,25.52
2011,FRA,France,Transport,154090.0,6,EUR,13.99
2011,FRA,France,Restaurants_Hotels,71953.0,6,EUR,6.53
2011,FRA,France,Food,144500.0,6,EUR,13.12
2011,FRA,France,Communication,33307.0,6,EUR,3.02
2011,FRA,France,Health,46365.0,6,EUR,4.21
2011,FRA,France,Household_Goods,56533.0,6,EUR,5.13
2011,FRA,France,Recreation_Culture,93325.0,6,EUR,8.47
2012,FRA,France,Housing_Utilities,292993.0,6,EUR,26.21
2012,FRA,France,Transport,152352.0,6,EUR,13.63
2012,FRA,France,Restaurants_Hotels,73364.0,6,EUR,6.56
