Year,REF_AREA,Country,Age,% Population,Value_population
1990,DNK,Danemark,20-64,60.21,3095168.0
1991,DNK,Danemark,20-64,60.39,3112937.0
1992,DNK,Danemark,20-64,60.62,3135100.0
1993,DNK,Danemark,20-64,60.84,3157327.0
1994,DNK,Danemark,20-64,61.02,3175995.0
1995,DNK,Danemark,20-64,61.22,3200450.0
1996,DNK,Danemark,20-64,61.41,3230864.0
1997,DNK,Danemark,20-64,61.43,3246301.0
1998,DNK,Danemark,20-64,61.49,3260010.0
1999,DNK,Danemark,20-64,61.51,3271649.0
2000,DNK,Danemark,20-64,61.45,3279727.0
2001,DNK,Danemark,20-64,61.29,3281971.0
2002,DNK,Danemark,20-64,61.12,3284698.0
2003,DNK,Danemark,20-64,60.9,3280836.0
2004,DNK,Danemark,20-64,60.65,3275751.0
2005,DNK,Danemark,20-64,60.42,3272070.0
2006,DNK,Danemark,20-64,60.23,3273133.0
2007,DNK,Danemark,20-64,60.01,3274986.0
2008,DNK,Danemark,20-64,59.73,3278627.0
2009,DNK,Danemark,20-64,59.43,3279955.0
2010,DNK,Danemark,20-64,59.05,3273643.0
2011,DNK,Danemark,20-64,58.68,3266671.0
2012,DNK,Danemark,20-64,58.38,3261534.0
2013,DNK,Danemark,20-64,58.23,3266220.0
2014,DNK,Danemark,20-64,58.17,3280409.0
2015,DNK,Danemark,20-64,58.19,3304273.0
2016,DNK,Danemark,20-64,58.15,3328948.0
2017,DNK,Danemark,20-64,58.13,3348443.0
2018,DNK,Danemark,20-64,58.02,3359610.0
2019,DNK,Danemark,20-64,57.97,3370577.0
2020,DNK,Danemark,20-64,57.8,3366856.0
2021,DNK,Danemark,20-64,57.7,3375527.0
2022,DNK,Danemark,20-64,57.68,3409421.0
1990,FIN,Finlande,20-64,61.24,3053514.0
1991,FIN,Finlande,20-64,61.1,3063449.0
1992,FIN,Finlande,20-64,60.92,3071674.0
1993,FIN,Finlande,20-64,60.69,3074920.0
1994,FIN,Finlande,20-64,60.48,3077171.0
1995,FIN,Finlande,20-64,60.34,3082204.0
1996,FIN,Finlande,20-64,60.31,3090385.0
1997,FIN,Finlande,20-64,60.33,3100919.0
1998,FIN,Finlande,20-64,60.41,3112995.0
1999,FIN,Finlande,20-64,60.48,3124168.0
2000,FIN,Finlande,20-64,60.51,3132366.0
2001,FIN,Finlande,20-64,60.55,3141263.0
2002,FIN,Finlande,20-64,60.61,3152155.0
2003,FIN,Finlande,20-64,60.66,3162137.0
2004,FIN,Finlande,20-64,60.63,3169845.0
2005,FIN,Finlande,20-64,60.61,3179792.0
2006,FIN,Finlande,20-64,60.46,3184138.0
2007,FIN,Finlande,20-64,60.32,3190226.0
2008,FIN,Finlande,20-64,60.31,3204325.0
2009,FIN,Finlande,20-64,60.2,3213966.0
2010,FIN,Finlande,20-64,59.97,3216246.0
2011,FIN,Finlande,20-64,59.57,3209677.0
2012,FIN,Finlande,20-64,59.12,3200625.0
2013,FIN,Finlande,20-64,58.67,3191266.0
2014,FIN,Finlande,20-64,58.26,3181664.0
2015,FIN,Finlande,20-64,57.89,3172094.0
2016,FIN,Finlande,20-64,57.57,3163744.0
2017,FIN,Finlande,20-64,57.26,3153906.0
2018,FIN,Finlande,20-64,56.95,3141007.0
2019,FIN,Finlande,20-64,56.7,3130495.0
2020,FIN,Finlande,20-64,56.47,3122540.0
2021,FIN,Finlande,20-64,56.25,3116742.0
2022,FIN,Finlande,20-64,56.12,3117944.0
1990,NOR,Norvège,20-64,57.32,2431008.0
1991,NOR,Norvège,20-64,57.53,2451597.0
1992,NOR,Norvège,20-64,57.78,2476751.0
1993,NOR,Norvège,20-64,58.04,2502468.0
1994,NOR,Norvège,20-64,58.25,2526015.0
1995,NOR,Norvège,20-64,58.4,2545954.0
1996,NOR,Norvège,20-64,58.49,2562657.0
1997,NOR,Norvège,20-64,58.54,2578821.0
1998,NOR,Norvège,20-64,58.64,2598426.0
1999,NOR,Norvège,20-64,58.78,2622555.0
2000,NOR,Norvège,20-64,58.91,2645792.0
2001,NOR,Norvège,20-64,59.04,2664979.0
2002,NOR,Norvège,20-64,59.17,2685006.0
2003,NOR,Norvège,20-64,59.25,2704506.0
2004,NOR,Norvège,20-64,59.27,2721514.0
2005,NOR,Norvège,20-64,59.29,2741023.0
2006,NOR,Norvège,20-64,59.36,2766552.0
