STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de measure,SEX,Sexe,AGE,Âge,TIME_HORIZ,Horizon temporel,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1990,,7677850,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1991,,7754891,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1992,,7840709,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1993,,7905632,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1994,,7936118,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1995,,7948278,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1996,,7959016,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1997,,7968041,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1998,,7976789,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1999,,7992323,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2000,,8011566,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2001,,8042293,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1990,,27691138,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1991,,28037420,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1992,,28371264,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1993,,28684764,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1994,,29000663,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1995,,29302311,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1996,,29610218,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1997,,29905948,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1998,,30155173,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1999,,30401286,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2000,,30685730,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1990,,1569174,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1991,,1561314,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1992,,1533091,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1993,,1494128,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1994,,1462514,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1995,,1436634,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1996,,1415594,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1997,,1399535,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1998,,1386156,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1999,,1375654,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2000,,1396985,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2001,,1388115,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2002,,1379350,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2003,,1370720,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2004,,1362550,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2005,,1354775,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2006,,1346810,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2007,,1340680,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2008,,1337090,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2009,,1334515,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2010,,1331475,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2011,,1327439,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2012,,1322696,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2013,,1317997,,A,Valeur normale,0,Units,0,Zero
