Country,Europe_Region
Lithuania,Baltic
Latvia,Baltic
Estonia,Baltic
Slovak Republic,Eastern Europe
Hungary,Eastern Europe
Poland,Eastern Europe
Ireland,Northern Europe
Iceland,Northern Europe
United Kingdom,Northern Europe
Finland,Northern Europe
Denmark,Northern Europe
Sweden,Northern Europe
Norway,Northern Europe
Croatia,Southeastern Europe
Romania,Southeastern Europe
Bulgaria,Southeastern Europe
Slovenia,Southeastern Europe
Spain,Southern Europe
Portugal,Southern Europe
Italy,Southern Europe
Greece,Southern Europe
Luxembourg,Western Europe
Switzerland,Western Europe
Germany,Western Europe
France,Western Europe
Belgium,Western Europe
Netherlands,Western Europe
Austria,Western Europe
