STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA_TYPE,Reference area type,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,VINTAGE,Vintage,DWELLINGS,Dwellings,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,JPN,Japan,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",_T,Total,_T,Total,2013,,1.649,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2007,,6.522,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,ZAF,South Africa,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",_T,Total,_T,Total,2024,,0.837,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,GBR,United Kingdom,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",_T,Total,_T,Total,2024,,0.734,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,JPN,Japan,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",_T,Total,_T,Total,2024,,2.812,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,ZAF,South Africa,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",_T,Total,_T,Total,2006,,16.734,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,GBR,United Kingdom,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",_T,Total,_T,Total,2006,,7.855,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,ZAF,South Africa,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",_T,Total,_T,Total,2005,,28.596,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,ZAF,South Africa,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",_T,Total,_T,Total,2004,,33.71,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,ZAF,South Africa,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",_T,Total,_T,Total,2003,,19.475,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,ZAF,South Africa,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",_T,Total,_T,Total,2002,,13.406,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,ZAF,South Africa,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",_T,Total,_T,Total,2012,,4.649,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,GBR,United Kingdom,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",_T,Total,_T,Total,2012,,0.424,,A,Normal value,0,Units,1,One,,
