STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,CHAPTER,Chapitre,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,ADJUSTMENT,Ajustement,COUNTERPART_AREA,Zone de contrepartie,SECTOR,Secteur institutionnel,COUNTERPART_SECTOR,Secteur institutionnel de contrepartie,CONSOLIDATION,Statut de consolidation,ACCOUNTING_ENTRY,Ecriture comptable,TRANSACTION,Transaction,INSTR_ASSET,Instruments et actifs,MATURITY,Échéance initiale et résiduelle,PRODUCT,Produit,PENSION_FUNDTYPE,Type de fond de pension,CURRENCY_DENOM,Monnaie de libellé,VALUATION,Evaluation,PRICE_BASE,Type de prix,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Identifiant de tableau,REF_YEAR_PRICE,Prix ​​année de référence,BASE_PER,Période de base,CONF_STATUS,Statut de confidentialité,DECIMALS,Décimales,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,EA,Zone euro,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,1999,,5668602.53798151,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,EU,Union européenne,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,1999,,6244885.79478611,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,EA,Zone euro,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2000,,5781979.59498724,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,EU,Union européenne,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2000,,6376805.30308824,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,EA,Zone euro,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2001,,5952585.70029063,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,EU,Union européenne,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2001,,6573002.57118908,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,EA,Zone euro,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2002,,6019795.9558361,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,EU,Union européenne,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2002,,6646424.54800829,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,EA,Zone euro,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2003,,6097593.96821399,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,EU,Union européenne,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2003,,6746280.43169407,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,_Z,N'est pas applicable
