STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,CHAPTER,Chapitre,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,ADJUSTMENT,Ajustement,COUNTERPART_AREA,Zone de contrepartie,SECTOR,Secteur institutionnel,COUNTERPART_SECTOR,Secteur institutionnel de contrepartie,CONSOLIDATION,Statut de consolidation,ACCOUNTING_ENTRY,Ecriture comptable,TRANSACTION,Transaction,INSTR_ASSET,Instruments et actifs,MATURITY,Échéance initiale et résiduelle,PRODUCT,Produit,PENSION_FUNDTYPE,Type de fond de pension,CURRENCY_DENOM,Monnaie de libellé,VALUATION,Evaluation,PRICE_BASE,Type de prix,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Identifiant de tableau,REF_YEAR_PRICE,Prix ​​année de référence,BASE_PER,Période de base,CONF_STATUS,Statut de confidentialité,DECIMALS,Décimales,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,AUS,Australie,LES1M_FD4,Dette des ménages et des ISBLSM,PT_B6N_S1M,Pourcentage du revenu disponible net des ménages,NAAG_V,Part V: Households,1995,,96.479468,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S1M,Les Ménages et ISBLSM,_Z,Non applicable,_Z,Non applicable,L,Passifs (ou accroissement net des passifs),LE,Bilan de clôture/positions/stocks,FD4,Dette brute totale,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,AUT,Autriche,LES1M_FD4,Dette des ménages et des ISBLSM,PT_B6N_S1M,Pourcentage du revenu disponible net des ménages,NAAG_V,Part V: Households,1995,,67.83776,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S1M,Les Ménages et ISBLSM,_Z,Non applicable,_Z,Non applicable,L,Passifs (ou accroissement net des passifs),LE,Bilan de clôture/positions/stocks,FD4,Dette brute totale,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,BEL,Belgique,LES1M_FD4,Dette des ménages et des ISBLSM,PT_B6N_S1M,Pourcentage du revenu disponible net des ménages,NAAG_V,Part V: Households,1995,,65.329897,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S1M,Les Ménages et ISBLSM,_Z,Non applicable,_Z,Non applicable,L,Passifs (ou accroissement net des passifs),LE,Bilan de clôture/positions/stocks,FD4,Dette brute totale,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,CAN,Canada,LES1M_FD4,Dette des ménages et des ISBLSM,PT_B6N_S1M,Pourcentage du revenu disponible net des ménages,NAAG_V,Part V: Households,1995,,108.2612,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S1M,Les Ménages et ISBLSM,_Z,Non applicable,_Z,Non applicable,L,Passifs (ou accroissement net des passifs),LE,Bilan de clôture/positions/stocks,FD4,Dette brute totale,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,CZE,Tchéquie,LES1M_FD4,Dette des ménages et des ISBLSM,PT_B6N_S1M,Pourcentage du revenu disponible net des ménages,NAAG_V,Part V: Households,1995,,28.942144,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S1M,Les Ménages et ISBLSM,_Z,Non applicable,_Z,Non applicable,L,Passifs (ou accroissement net des passifs),LE,Bilan de clôture/positions/stocks,FD4,Dette brute totale,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,DNK,Danemark,LES1M_FD4,Dette des ménages et des ISBLSM,PT_B6N_S1M,Pourcentage du revenu disponible net des ménages,NAAG_V,Part V: Households,1995,,162.98439,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S1M,Les Ménages et ISBLSM,_Z,Non applicable,_Z,Non applicable,L,Passifs (ou accroissement net des passifs),LE,Bilan de clôture/positions/stocks,FD4,Dette brute totale,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,EST,Estonie,LES1M_FD4,Dette des ménages et des ISBLSM,PT_B6N_S1M,Pourcentage du revenu disponible net des ménages,NAAG_V,Part V: Households,1995,,7.1760652,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S1M,Les Ménages et ISBLSM,_Z,Non applicable,_Z,Non applicable,L,Passifs (ou accroissement net des passifs),LE,Bilan de clôture/positions/stocks,FD4,Dette brute totale,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,FIN,Finlande,LES1M_FD4,Dette des ménages et des ISBLSM,PT_B6N_S1M,Pourcentage du revenu disponible net des ménages,NAAG_V,Part V: Households,1995,,73.417891,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S1M,Les Ménages et ISBLSM,_Z,Non applicable,_Z,Non applicable,L,Passifs (ou accroissement net des passifs),LE,Bilan de clôture/positions/stocks,FD4,Dette brute totale,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,FRA,France,LES1M_FD4,Dette des ménages et des ISBLSM,PT_B6N_S1M,Pourcentage du revenu disponible net des ménages,NAAG_V,Part V: Households,1995,,71.531847,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S1M,Les Ménages et ISBLSM,_Z,Non applicable,_Z,Non applicable,L,Passifs (ou accroissement net des passifs),LE,Bilan de clôture/positions/stocks,FD4,Dette brute totale,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,DEU,Allemagne,LES1M_FD4,Dette des ménages et des ISBLSM,PT_B6N_S1M,Pourcentage du revenu disponible net des ménages,NAAG_V,Part V: Households,1995,,98.237999,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S1M,Les Ménages et ISBLSM,_Z,Non applicable,_Z,Non applicable,L,Passifs (ou accroissement net des passifs),LE,Bilan de clôture/positions/stocks,FD4,Dette brute totale,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
